Pick Taken,Grade,,IN,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3c,Shuttle,VJ,BJ,DOB,Age,Final Grade,DB Round Grade,Difference,DB Grade,Combine Invite Adjust,Senior/Shrine Adjust,Postitional Value Adjust,Year Adjust,Raw Grade,Short (0-9),Intermediate (10-19),Deep (20+),Under Pressure,Ability to Create,Ability as a Runner,RAS,Age
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brennan Armstrong,North Carolina State,ACC,QB,QB28,6SR,,6007,199,918,3168,7600,1.62,4.74,,7.09,4.38,31.00,,10-18-99,24.53,3.4,UDFA,0.09,3.33,3.5,3.7,4.1,3.6,3.8,2.5,4.1,2.0,4.7,4.0,5.1,,
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,FALSE,Kedon Slovis,BYU,Ind.,QB,QB29,5SR,,6024,223,978,3118,7438,1.57,4.55,,,,,,04-11-01,23.05,3.4,7,-1.13,4.50,2.2,2.3,2.2,1.9,2.0,0.7,1.5,1.7,3.3,2.5,0.3,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Theo Day,Northern Iowa,,QB,QB30,,,6054,224,1000,3300,7778,1.72,4.8,,7.25,4.53,35.00,,,,3.2,UDFA,NA,3.21,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Gage Porter,Southern Nazarene,,QB,QB31,,,5100,213,868,3138,7358,1.65,4.89,,7.28,4.62,30.50,,,,3.2,UDFA,NA,3.15,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Ben Bryant,Northwestern,Big Ten,QB,QB32,6SR,,6034,218,1000,3228,7528,1.69,5.01,,,,,,09-17-99,24.61,3.0,UDFA,-1.21,4.18,1.8,1.9,2.1,1.8,1.9,2.2,4.2,2.1,2.3,0.0,0.5,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Zack Annexstad,Illinois State,,QB,QB33,,,6027,220,978,3058,7400,DNP,DNP,,DNP,DNP,DNP,,,,2.9,UDFA,NA,2.91,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Cole Dow,Dayton,FCS,QB,QB34,,,5116,193,938,3058,7428,1.54,4.57,,6.84,4.2,38.00,,,0.00,2.9,UDFA,NA,2.85,,,,,0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,TRUE,FALSE,TRUE,Carter Bradley,South Alabama,Sun Belt,QB,QB35,6SR,,6031,213,938,3218,7628,1.60,4.82,,,,,,03-09-00,24.14,2.8,UDFA,-1.58,4.40,1.2,1.5,1.5,1.3,1.3,3.9,1.0,3.4,1.1,0.0,0.4,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kasim Hill,Rhode Island,,QB,QB36,,,6015,239,800,3100,7518,1.72,5,,7.81,DNP,27.00,,,,2.8,UDFA,NA,2.79,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,DJ Irons,Akron,MAC,QB,QB37,5SR,,6033,205,948,3138,7478,DNP,DNP,,DNP,DNP,DNP,,,0.00,2.8,UDFA,-0.50,3.27,2.3,2.4,2.7,2.3,2.4,5.9,2.0,0.2,4.2,1.4,4.3,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jayden de Laura,Arizona,,QB,QB38,,,5104,207,938,3038,7328,1.76,4.9,,7.55,4.64,27.50,,,,2.7,UDFA,NA,2.73,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Marquez McCray,Monmouth,FCS,QB,QB39,,,6013,226,900,3100,7818,1.85,5.03,,DNP,DNP,DNP,,,0.00,2.7,UDFA,NA,2.67,,,,,0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,John Paddock,Illinois,Big Ten,QB,QB40,6SR,,5112,193,958,2938,7218,1.68,4.89,,7.46,4.5,28.00,,,0.00,2.6,UDFA,0.74,1.89,3.4,3.6,4.0,3.5,3.6,2.0,3.2,5.6,4.9,3.2,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Mike DiLiello,Austin Peay,,QB,QB41,,,6006,211,928,3128,7738,1.7,4.76,,7.4,4.31,33.50,,,,2.6,UDFA,NA,2.61,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brandon Alt,Bemidji State,,QB,QB42,,,6002,217,938,3038,7458,1.71,4.97,,7.23,4.33,29.50,,,,2.6,UDFA,NA,2.55,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Quinton Williams,Howard,,QB,QB43,,,6040,199,948,3300,7948,1.67,4.84,,DNP,4.58,30.00,,,,2.5,UDFA,NA,2.49,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Davis Brin,Georgia Southern,Sun Belt,QB,QB44,6SR,,6015,207,918,3178,7638,DNP,DNP,,7.32,4.37,34.00,,,0.00,2.4,UDFA,-0.68,3.09,1.7,1.8,2.0,1.8,1.9,4.7,1.6,3.9,1.3,0.9,0.4,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Christian Arrambide,Kentucky Wesleyan,,QB,QB45,,,6002,214,900,2928,7338,1.73,4.91,,7.46,4.6,29.00,,,,2.4,UDFA,NA,2.37,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Cade Fortin,Arkansas,,QB,QB46,,,6022,224,900,3218,7728,1.61,4.72,,7.34,4.4,30.50,,,,2.3,UDFA,NA,2.31,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Andrew Peasley,Wyoming,,QB,QB47,,,6016,216,928,3218,7618,1.66,4.65,,7,4.33,37.00,,,,2.3,UDFA,NA,2.25,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Darren Grainger,Georgia State,Sun Belt,QB,QB48,6SR,,6031,209,1000,3338,7900,1.66,4.83,,7.62,4.47,30.00,,,0.00,2.2,UDFA,0.60,1.65,2.8,3.0,3.3,2.9,3.1,7.8,2.1,3.1,2.9,1.8,6.1,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Emory Jones,Cincinnati,AAC,QB,QB49,6SR,,6022,203,938,3238,7838,1.64,4.77,,7.28,4.55,30.00,,,0.00,2.2,UDFA,-0.73,2.97,1.5,1.6,1.8,1.6,1.6,4.1,1.3,1.5,1.9,0.5,3.7,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brock Domann,Louisville,ACC,QB,QB50,6SR,,6005,231,928,2848,7100,DNP,DNP,,DNP,DNP,DNP,,,0.00,2.2,UDFA,-0.22,2.43,2.0,2.1,2.3,2.0,2.1,1.6,0.8,1.5,6.2,1.4,0.1,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Liam Thompson,Wabash (Ind.),,QB,QB51,,,6001,199,948,3048,7438,1.75,4.96,,7.26,4.45,30.50,,,,2.2,UDFA,NA,2.19,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jairus Grissom,Saginaw Valley State,,QB,QB52,,,6004,212,948,3118,7718,1.63,4.73,,7.33,4.65,32.00,,,,2.1,UDFA,NA,2.13,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Quincy Patterson,Temple,,QB,QB53,,,6031,242,948,3368,8048,1.57,4.89,,7.45,4.55,29.50,,,,2.1,UDFA,NA,2.07,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Gunnar Watson,Troy,Sun Belt,QB,QB54,6SR,,6023,200,848,3028,7400,1.78,5.14,,7.44,4.62,24.00,,,0.00,2.1,UDFA,1.31,0.75,3.4,3.6,4.0,3.4,3.6,5.4,5.2,5.7,3.9,1.4,0.2,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Phil Jurkovec,Pitt,ACC,QB,QB55,6SR,,6047,243,1000,3300,7828,1.68,4.91,,7.53,4.57,33.00,,,0.00,2.0,UDFA,-1.02,3.03,1.0,1.1,1.2,1.0,1.1,0.6,1.3,0.8,0.4,1.4,1.8,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Cade Peterson,Grand Valley State,,QB,QB56,,,6043,222,938,3338,8028,1.76,4.84,,7.61,4.55,30.00,,,,2.0,UDFA,NA,2.01,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jalon Jones,Charlotte,,QB,QB57,,,6024,205,928,3148,7668,1.63,4.5,,7.29,4.38,38.00,,,,2.0,UDFA,NA,1.95,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Donovan Riddick,West Virginia State,,QB,QB58,,,5113,208,1000,3218,7728,1.78,4.85,,DNP,4.64,28.00,,,,1.8,UDFA,NA,1.83,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Braden Wingle,Fort Lewis,,QB,QB59,,,6051,221,928,3378,8168,1.82,4.9,,7.7,4.65,32.50,,,,1.8,UDFA,NA,1.77,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Peewee Jarrett,West Florida,,QB,QB60,,,6025,221,1028,3248,7868,DNP,DNP,,DNP,DNP,DNP,,,,1.7,UDFA,NA,1.71,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Casey Bauman,Augustana (S.D.),,QB,QB61,,,6060,227,1000,3378,8300,1.76,4.94,,7.25,4.29,35.50,,,,1.6,UDFA,NA,1.59,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nolan Grooms,Yale,,QB,QB62,,,6014,195,948,3068,7438,1.61,4.67,,7.1,4.13,37.50,,,,1.5,UDFA,NA,1.53,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Layne Hatcher,Ball State,,QB,QB63,,,5102,213,918,3068,7318,DNP,DNP,,7.58,4.52,28.00,,,,1.5,UDFA,NA,1.47,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Blake Stenstrom,Princeton,,QB,QB64,,,6030,221,918,3178,7728,1.65,4.79,,7.06,4.35,32.00,,,,1.4,UDFA,NA,1.41,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Colby Suits,Houston Christian,,QB,QB65,,,6030,235,918,3200,7578,1.74,4.8,,DNP,4.59,28.00,,,,1.4,UDFA,NA,1.35,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Sean Chambers,Montana State,,QB,QB66,,,6027,225,1000,3178,7968,1.66,4.73,,7.39,4.48,27.50,,,,1.3,UDFA,NA,1.29,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Micah Leon,Florida,SEC,QB,QB67,7SR,,6047,221,1000,3200,7900,DNP,DNP,,DNP,DNP,DNP,,,0.00,1.3,UDFA,0.22,1.05,1.5,1.6,1.8,1.5,1.7,1.5,0.0,1.5,3.0,2.9,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jalen Mayden,San Diego State,,QB,QB68,,,6014,217,928,3118,7728,1.58,4.54,,7.4,4.39,35.00,,,,1.2,UDFA,NA,1.23,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jeff Undercuffler,Akron,,QB,QB69,,,6045,232,918,3138,7528,DNP,DNP,,DNP,DNP,24.00,,,,1.2,UDFA,NA,1.17,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Steven Krajewski,Wagner,,QB,QB70,,,6024,201,948,3128,7648,1.63,4.85,,7.47,4.35,33.50,,,,1.1,UDFA,NA,1.11,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tre Lee,Augsburg (Minn.),,QB,QB71,,,5103,213,958,3038,7300,1.69,4.7,,7.41,4.39,30.50,,,,1.0,UDFA,NA,0.99,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jiya Wright,UL Monroe,Sun Belt,QB,QB72,6SR,,5116,205,948,3138,7628,1.68,4.76,,7.05,4.22,35.50,,,0.00,1.0,UDFA,0.10,0.87,1.1,1.1,1.2,1.1,1.1,2.5,0.7,0.4,1.3,1.4,2.0,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,John Matocha,Colorado Mines,,QB,QB73,,,5111,192,878,2978,7348,1.69,4.86,,7.27,4.38,31.00,,,,0.9,UDFA,NA,0.93,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Aeneas Dennis,Benedict,,QB,QB74,,,6005,206,938,3100,7518,1.76,4.84,,7.62,4.52,29.00,,,,0.8,UDFA,NA,0.81,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,TJ Davis,Nebraska-Kearney,,QB,QB75,,,6016,174,978,3000,7200,1.48,4.51,,6.84,4.32,33.50,,,,0.7,UDFA,NA,0.69,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Joaquin Collazo III,Bethel (Tenn.),,QB,QB76,,,6024,191,848,3018,7258,1.55,4.97,,7.4,4.5,28.00,,,,0.6,UDFA,NA,0.57,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Deveon Bryant,Tennessee State,,QB,QB77,,,6026,246,1018,3268,8048,1.64,4.91,,7.44,4.57,27.00,,,,0.5,UDFA,NA,0.51,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Keegan Shoemaker,Sam Houston,,QB,QB78,,,6016,201,948,3068,7558,1.8,4.91,,7.51,5,30.50,,,,0.5,UDFA,NA,0.45,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Mitch Davidson,Youngstown State,,QB,QB79,,,6031,202,968,3158,7528,1.75,4.98,,7.1,4.23,33.00,,,,0.4,UDFA,NA,0.39,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Braxton Plunk,Mount Union,,QB,QB80,,,5103,197,858,2928,7000,1.7,4.83,,7.66,4.63,31.50,,,,0.3,UDFA,NA,0.33,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Braden Gleason,Emporia State,D-II,QB,QB81,,,5104,192,878,3038,7278,1.62,4.83,,7.09,4.33,32.50,,,0.00,0.3,UDFA,-0.32,0.63,0.0,0.0,,,0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Desmond Trotter,South Alabama,,QB,QB82,,,6026,233,948,3168,7700,1.71,4.82,,7.2,4.5,29.50,,,,0.3,UDFA,NA,0.27,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Aaron Allen,Alcorn State,,QB,QB83,,,5117,197,928,3100,7468,DNP,DNP,,7.77,4.51,29.00,,,,0.2,UDFA,NA,0.21,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Bryce Veasley,Keiser (Fla.),,QB,QB84,,,6033,229,1000,3318,8078,1.64,4.82,,7.5,4.88,34.50,,,,0.2,UDFA,NA,0.15,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Patrick Shegog,Delta State,,QB,QB85,,,5106,197,938,2958,7300,1.65,4.89,,7.32,4.52,DNP,,,,0.1,UDFA,NA,0.09,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,James Cahoon,Bridgewater State,,QB,QB86,,,6035,217,1000,3168,7600,1.8,5.37,,8.37,4.83,25.50,,,,0.0,UDFA,NA,0.00,,,,,,,,,,,,,
