Pick Taken,Round Grade,,In,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos,Pos Rank,Pos Played,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,BJ,DOB,Age,Final Grade,Difference,DB Grade,Data Grade,Senior/Shrine Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value,Pass Pro,Run,RAS,Arm Length,Age
UDFA,7,7th,TRUE,TRUE,FALSE,FALSE,TRUE,Matthew Jones,Ohio State,,OG,OG13,,6SR,,6034,316,0900,32.625,8048,1.87,5.21,--,0807,,24.0,4.6,0.24,4.40,4.9,4.9,4.9,4.4,4.8,,7.71,4.68,5.66,4.1,0.0
UDFA,UDFA,7th-PFA,TRUE,FALSE,FALSE,TRUE,FALSE,Kyle Hergel,Boston College,,OG,OG14,,6SR,,,,,0,,,,,,, ,4.5,NA,,4.5,4.5,4.3,4.5,4.9,,9.26,3.08,7.83,0.0,0.0
UDFA,UDFA,7th-PFA,TRUE,TRUE,TRUE,FALSE,FALSE,Javion Cohen,Miami,,OG,OG15,,4SR,70,6043,324,0978,34,8048,--,--,22,0808,08.08.02,21.7,4.5,-1.03,5.50,3.4,3.4,3.3,3.0,3.0,,5.19,-1.88,5.58,7.5,7.5
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Prince Pines,Tulane,,OG,OG16,,6SR,,6044,322,,,,,,,,,,4.2,NA,4.20,,,,,,,,,,,
215,UDFA,UDFA,TRUE,TRUE,FALSE,FALSE,TRUE,Jarrett Kingston,USC,,OG,OG17,,6SR,,6042,306,0968,32.125,7818,1.73,5.02,32,0903,,24.0,4.0,-0.26,4.25,3.7,3.7,3.7,3.4,3.7,,4.47,1.60,9.92,2.8,0.0
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,TRUE,X'Zauvea Gadlin,Liberty,,OG,OG18,,6SR,73,6032,322,1028,33.25,8118,1.90,5.50,25,0800,09.17.99,24.6,4.0,-0.35,4.30,3.6,3.6,3.4,3.1,3.4,,4.09,5.64,1.97,5.6,-2.1
230,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Michael Jurgens,Wake Forest,,OG,OG19,,6SR,,,,,0,,,,,,, ,3.9,0.34,3.54,4.2,5.6,5.6,5.9,6.4,,8.12,10.56,7.62,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Bucky Williams,Appalachian State,,OG,OG20,,6SR,,,,,0,,,,,,, ,3.9,NA,,3.9,5.2,5.2,5.4,5.9,,7.96,9.20,6.84,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,FALSE,Willis Patrick,TCU,,OG,OG21,,6SR,,,,,0,,,,,,, ,3.5,NA,,3.5,3.5,3.3,3.5,3.8,,7.83,3.84,2.88,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,TRUE,Gunner Britton,Auburn,,OG,OG22,,6SR,,,,,0,,,,,,,24.0,3.4,-0.72,4.10,2.7,2.7,2.5,2.7,2.9,,5.43,0.08,7.36,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Dalton Tucker,Marshall,,OG,OG23,,6SR,,,,,0,,,,,,03.10.00,24.2,3.1,-1.20,4.35,1.9,2.6,2.6,2.7,3.0,,4.68,0.92,7.94,0.0,-0.5
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Jacob Johanning,Furman,,OG,OG24,,5SR,,,,,0,,,,,,, ,2.9,NA,,2.9,3.9,3.9,4.1,4.3,,5.08,6.68,6.35,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Preston Nichols,Purdue,,OG,OG25,,6SR,,,,,0,,,,,,, ,2.5,NA,,2.5,3.4,3.4,3.5,3.8,,7.41,3.00,5,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Heneli Bloomfield,Oregon State,,OG,OG26,,6SR,,,,,0,,,,,,, ,2.4,NA,,2.4,3.2,3.2,3.4,3.6,,2.31,8.24,5,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Corey Bullock,Maryland,,OG,OG27,,5SR,,,,,0,,,,,,, ,2.4,NA,,2.4,3.1,3.1,3.3,3.5,,7.15,4.36,1.4,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Steven Jones,Oregon,,OG,OG28,,6SR,,,,,0,,,,,,, ,2.3,NA,,2.3,3.1,3.1,3.2,3.5,,7.51,3.04,2.81,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Darrian Dalcourt,Alabama,,OG,OG29,,5SR,,,,,0,,,,,,, ,2.3,-1.17,3.44,1.1,1.5,1.5,1.5,1.6,,2.94,2.92,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,D'Mitri Emmanuel,Florida State,,OG,OG30,,7SR,,,,,0,,,,,,, ,1.9,NA,,1.9,2.5,2.5,2.6,3.1,,6.94,1.48,3.71,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Michael Furtney,Wisconsin,,OG,OG31,,6SR,,,,,0,,,,,,, ,1.8,NA,,1.8,2.4,2.4,2.5,2.7,,3.89,2.40,5.48,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brey Walker,Texas State,,OG,OG32,,6SR,,,,,0,,,,,,, ,1.7,NA,,1.7,2.3,2.3,2.4,2.6,,5.99,3.36,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Marcellus Anderson,UMass,,OG,OG33,,6SR,,,,,0,,,,,,, ,1.7,NA,,1.7,2.3,2.3,2.4,2.6,,7.52,1.52,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Noel Ofori-Nyadu,UConn,,OG,OG34,,6SR,,,,,0,,,,,,, ,1.7,NA,,1.7,2.3,2.3,2.4,2.6,,4.67,4.60,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Xavier Delgado,Missouri,,OG,OG35,,6SR,,,,,0,,,,,,, ,1.7,NA,,1.7,2.2,2.2,2.4,2.5,,4.63,4.56,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Cole Spencer,Texas Tech,,OG,OG36,,7SR,,,,,0,,,,,,, ,1.6,NA,,1.6,2.1,2.1,2.2,2.6,,5.42,3.88,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Christopher Bleich,Syracuse,,OG,OG37,,6SR,,,,,0,,,,,,, ,1.6,NA,,1.6,2.1,2.1,2.2,2.4,,6.52,1.68,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Max Banes,Houston,,OG,OG38,,6SR,,,,,0,,,,,,, ,1.6,NA,,1.6,2.1,2.1,2.2,2.4,,1.47,7.52,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Paul Maile,BYU,,OG,OG39,,6SR,,,,,0,,,,,,, ,1.5,-0.35,1.88,1.2,1.6,1.6,1.7,1.8,,6.39,-0.44,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Dennis Wilburn,Texas Tech,,OG,OG40,,6SR,,,,,0,,,,,,, ,1.5,0.12,1.35,1.6,2.1,2.1,2.2,2.4,,6.91,1.40,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ryan Johnson,Youngstown State,,OG,OG41,,6SR,,,,,0,,,,,,, ,1.3,NA,,1.3,1.7,1.7,1.8,1.9,,3.82,3.00,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lawrence Lagrone,North Carolina A&T,,OG,OG42,,6SR,,,,,0,,,,,,, ,1.1,NA,,1.1,1.5,1.5,1.6,1.7,,5.97,-0.20,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,J.D. Duplain,Michigan State,,OG,OG43,,5SR,,,,,0,,,,,,, ,1.1,NA,,1.1,1.4,1.4,1.5,1.6,,6.42,-1.32,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Mike Katic,Indiana,,OG,OG44,,5SR,,,,,0,,,,,,, ,1.1,NA,,1.1,1.4,1.4,1.5,1.6,,6.62,-1.56,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Casey Roddick,Florida State,,OG,OG45,,6SR,,,,,0,,,,,,, ,1.0,NA,,1.0,1.4,1.4,1.4,1.6,,4.88,0.40,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Landon Bebee,Colorado,,OG,OG46,,6SR,,,,,0,,,,,,, ,1.0,NA,,1.0,1.4,1.4,1.4,1.5,,5.78,-0.72,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Damion Daley,Appalachian State,,OG,OG47,,6SR,,,,,0,,,,,,, ,1.0,NA,,1.0,1.3,1.3,1.4,1.5,,4.39,0.64,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Curtis Dunlap Jr.,Rutgers,,OG,OG48,,6SR,,,,,0,,,,,,, ,0.9,NA,,0.9,1.2,1.2,1.3,1.4,,4.85,-0.20,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Trevor Radosevich,Cincinnati,,OG,OG49,,6SR,,,,,0,,,,,,, ,0.9,-0.65,1.56,0.3,0.4,0.4,0.4,0.4,,1.30,0.08,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jonathan Graham,Liberty,,OG,OG50,,6SR,,,,,0,,,,,,, ,0.8,NA,,0.8,1.1,1.1,1.2,1.3,,4.81,-0.56,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Marcellus Johnson,Missouri,,OG,OG51,,6SR,,,,,0,,,,,,, ,0.8,NA,,0.8,1.1,1.1,1.2,1.3,,1.80,2.92,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,John Paul Flores,Louisville,,OG,OG52,,6SR,,,,,0,,,,,,, ,0.8,NA,,0.8,1.1,1.1,1.2,1.3,,0.61,4.24,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Joshua Pena,Navy,,OG,OG53,,4SR,,,,,0,,,,,,, ,0.8,NA,,0.8,1.1,1.1,1.2,1.2,,0.92,3.48,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nick Torres,Villanova,,OG,OG54,,6SR,,,,,0,,,,,,, ,0.8,NA,,0.8,1.1,1.1,1.1,1.2,,5.36,-1.44,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jalen Cunningham,Arkansas State,,OG,OG55,,6SR,,,,,0,,,,,,, ,0.8,NA,,0.8,1.1,1.1,1.1,1.2,,1.90,2.56,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Khalil Crowder,Georgia Southern,,OG,OG56,,6SR,,,,,0,,,,,,, ,0.8,NA,,0.8,1.1,1.1,1.1,1.2,,3.99,0.04,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Aaron Frost,Arizona State,,OG,OG57,,6SR,,,,,0,,,,,,, ,0.8,NA,,0.8,1.0,1.0,1.1,1.2,,2.80,1.32,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Blake Zubovic,Pitt,,OG,OG58,,6SR,,,,,0,,,,,,, ,0.8,NA,,0.8,1.0,1.0,1.1,1.2,,3.59,0.36,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Sam Langi,Arizona,,OG,OG59,,6SR,,,,,0,,,,,,, ,0.6,NA,,0.6,0.8,0.8,0.9,0.9,,1.21,2.20,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Sione Finau,Arizona State,,OG,OG60,,5SR,,,,,0,,,,,,, ,0.5,NA,,0.5,0.7,0.7,0.7,0.8,,3.51,-1.04,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ollie Lane,Tennessee,,OG,OG61,,6SR,,,,,0,,,,,,, ,0.5,NA,,0.5,0.7,0.7,0.7,0.8,,3.70,-1.20,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chidoziri Maghiro,UCF,,OG,OG62,,6SR,,,,,0,,,,,,, ,0.4,NA,,0.4,0.6,0.6,0.6,0.7,,1.09,1.40,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Derrick Eason,North Carolina State,,OG,OG63,,6SR,,,,,0,,,,,,, ,0.4,NA,,0.4,0.5,0.5,0.6,0.6,,0.47,1.80,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tank Jenkins,Houston,,OG,OG64,,6SR,,,,,0,,,,,,, ,0.3,NA,,0.3,0.4,0.4,0.5,0.5,,2.59,-1.08,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Edward Collins,UCF,,OG,OG65,,6SR,,,,,0,,,,,,, ,0.3,NA,,0.3,0.4,0.4,0.5,0.5,,1.37,0.32,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jake Kradel,Pitt,,OG,OG66,,6SR,,,,,0,,,,,,, ,0.3,-0.90,1.15,-0.6,-0.9,-0.9,-0.9,-1.0,,-1.09,-2.56,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Junior Angilau,Oregon,,OG,OG67,,6SR,,,,,0,,,,,,, ,0.2,NA,,0.2,0.3,0.3,0.3,0.3,,1.18,-0.12,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ed Montilus,North Carolina,,OG,OG68,,6SR,,,,,0,,,,,,, ,0.2,NA,,0.2,0.2,0.2,0.3,0.3,,3.66,-3.16,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Terrell Haynes,UTSA,,OG,OG69,,6SR,,,,,0,,,,,,, ,0.1,NA,,0.1,0.2,0.2,0.2,0.2,,2.15,-1.80,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ian Fitzgerald,BYU,,OG,OG70,,6SR,,,,,0,,,,,,, ,0.1,NA,,0.1,0.1,0.1,0.1,0.1,,2.01,-2.00,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Connor Scaglione,Georgia Tech,,OG,OG71,,6SR,,,,,0,,,,,,, ,0.1,NA,,0.1,0.1,0.1,0.1,0.1,,2.30,-2.36,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Cole Garcia,UMass,,OG,OG72,,6SR,,,,,0,,,,,,, ,0.0,NA,,0.0,0.1,0.1,0.1,0.1,,2.11,-2.20,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Maurice McIntyre,Duke,,OG,OG73,,6SR,,,,,0,,,,,,, ,0.0,NA,,0.0,0.0,0.0,0.0,0.0,,0.59,-0.84,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lokahi Pauole,UCF,,OG,OG74,,5SR,,,,,0,,,,,,, ,0.0,NA,,0.0,-0.1,-0.1,-0.1,-0.1,,1.90,-2.48,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Amelio Moran,Maryland,,OG,OG75,,6SR,,,,,0,,,,,,, ,-0.1,NA,,-0.1,-0.1,-0.1,-0.1,-0.1,,2.53,-3.40,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jackson Filipowicz,Army,,OG,OG76,,4SR,,,,,0,,,,,,, ,-0.1,NA,,-0.1,-0.1,-0.1,-0.1,-0.1,,1.51,-2.28,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Spencer Lovell,Kansas,,OG,OG77,,6SR,,,,,0,,,,,,, ,-0.2,NA,,-0.2,-0.2,-0.2,-0.2,-0.2,,-2.98,2.56,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kenneth Horsey,Kentucky,,OG,OG78,,6SR,,,,,0,,,,,,, ,-0.2,NA,,-0.2,-0.2,-0.2,-0.2,-0.2,,3.29,-4.80,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jalil Irvin,Auburn,,OG,OG79,,6SR,,,,,0,,,,,,, ,-0.2,NA,,-0.2,-0.3,-0.3,-0.3,-0.3,,0.00,-1.20,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kevin Williams,Charlotte,,OG,OG80,,7SR,,,,,0,,,,,,, ,-0.2,NA,,-0.2,-0.3,-0.3,-0.3,-0.4,,-0.29,-1.16,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Leroy Thomas,Old Dominion,,OG,OG81,,6SR,,,,,0,,,,,,, ,-0.3,NA,,-0.3,-0.3,-0.3,-0.4,-0.4,,1.87,-3.72,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Joe More,Syracuse,,OG,OG82,,6SR,,,,,0,,,,,,, ,-0.3,NA,,-0.3,-0.4,-0.4,-0.4,-0.4,,1.61,-3.48,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lavel Dumont,Rice,,OG,OG83,,6SR,,,,,0,,,,,,, ,-0.5,NA,,-0.5,-0.7,-0.7,-0.7,-0.8,,1.37,-4.60,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Karter Shaw,Minnesota,,OG,OG84,,6SR,,,,,0,,,,,,, ,-0.6,NA,,-0.6,-0.8,-0.8,-0.8,-0.9,,0.00,-3.56,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jordyn Slaughter,Illinois,,OG,OG85,,6SR,,,,,0,,,,,,, ,-0.7,NA,,-0.7,-0.9,-0.9,-1.0,-1.1,,-0.50,-3.56,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,John Bolding,Southern Miss,,OG,OG86,,6SR,,,,,0,,,,,,, ,-0.7,NA,,-0.7,-1.0,-1.0,-1.0,-1.1,,0.57,-4.92,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Quincy McGee,Mississippi,,OG,OG87,,6SR,,,,,0,,,,,,, ,-0.8,NA,,-0.8,-1.0,-1.0,-1.1,-1.2,,1.17,-5.92,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,William Barnes,North Carolina,,OG,OG88,,6SR,,,,,0,,,,,,, ,-1.0,NA,,-1.0,-1.3,-1.3,-1.4,-1.5,,-1.34,-4.32,,0.0,0.0
