Pick Taken,Grade,,IN,Combine,Senior,Shrine,Hula,Name,School,Conferece,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3C,SS,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Final Data Grade,Weight Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Rushing,Reciving,Pass Blocking,RAS,Age
UDFA,UDFA,7th-PFA,TRUE,TRUE,FALSE,FALSE,FALSE,Dillon Johnson,Washington,Pac-12,RB,RB20,4SR,,5115,217,938,3000,7258,1.57,4.68,--,--,--,31.5,909,06.15.01,22.9,4.50,-0.60,5.10,3.9,4.9,4.9,4.9,4.9,,4.6,4.9,6.9,6.78,3.7
186,UDFA,PFA,TRUE,TRUE,FALSE,FALSE,FALSE,Jase McClellan,Alabama,SEC,RB,RB21,4SR,,5103,221,1028,3118,7548,DNP,DNP,20,--,--,--,--,06.25.02,21.9,4.06,-0.54,4.6,3.5,4.4,4.4,4.4,4.4,,4.9,1.7,0.6,5,7.1
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,FALSE,Jaden Shirden,Monmouth,,RB,RB22,4JR,,5080,187,928,2868,6958,1.56,4.45,--,--,--,34.5,909,05.02.02,22.0,3.95,-0.45,4.40,3.5,4.3,4.5,4.5,4.5,,4.2,3.0,3.5,6.31,6.6
83,6,6th,TRUE,TRUE,FALSE,FALSE,FALSE,Blake Corum,Michigan,Big Ten,RB,RB23,4SR,,5076,205,900,2878,7018,1.59,4.53,27,6.82,4.12,35.5,--,11.25.00,23.4,5.13,-1.63,6.76,3.5,4.4,4.6,4.6,4.6,,4.9,4.4,3.5,8.28,1.9
UDFA,UDFA,PFA,TRUE,TRUE,TRUE,FALSE,FALSE,Daijun Edwards,Georgia,SEC,RB,RB24,4SR,,5095,213,958,2968,7168,1.63,4.70,--,--,--,--,906,04.11.01,23.1,4.16,-0.84,5.00,3.3,4.0,4.0,4.0,4.0,,3.7,4.8,9.7,1.91,3.1
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,TRUE,TRUE,Blake Watson,Memphis,AAC,RB,RB25,6SR,,5094,200,868,2958,7178,1.55,4.40,,,,,,10.14.99,24.6,4.11,-0.79,4.90,3.3,4.0,4.3,4.7,5.3,,6.1,7.0,4.1,8.91,-1.9
208,UDFA,PFA,TRUE,TRUE,TRUE,TRUE,FALSE,Dylan Laube,New Hampshire,,RB,RB26,6SR,,5097,206,928,2938,7118,1.6,4.54,23,6.84,4.02,37,910,12.14.99,24.4,4.12,-1.13,5.25,3.0,3.6,3.8,3.8,4.2,,2.2,10.1,7.2,8.78,-1.3
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jalen Jackson,Villanova,,RB,RB27,6SR,,,,,,,,,,,,,,, ,2.97,NA,,3.0,3.7,4.4,4.9,5.4,,10.5,-0.4,4.6,,
205,UDFA,UDFA,TRUE,TRUE,TRUE,TRUE,FALSE,Jawhar Jordan,Louisville,ACC,RB,RB28,6SR,,5094,193,848,3018,7100,1.58,4.56,--,--,--,--,--,"08.18,99",24.7,3.69,-1.06,4.75,2.6,3.1,3.3,3.3,3.7,,5.4,2.3,8,4.6,-2.4
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Terrell Jennings,Florida A&M,,RB,RB29,5SR,,,,,,,,,,,,,,, ,2.61,NA,,2.6,3.3,3.8,4.3,4.5,,7.7,3.2,0.1,,
165,UDFA,PFA,TRUE,TRUE,TRUE,TRUE,FALSE,Rasheen Ali*,Marshall,Sun Belt,RB,RB30,5SR,,5112,206,858,3128,7268,DNP,DNP,--,--,--,--,--,02.16.01,23.2,4.17,-1.58,5.75,2.6,3.1,3.2,3.2,3.4,,4.5,0.4,4,5,2.6
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jermaine Brown Jr.,UAB,C-USA,RB,RB31,5SR,,,,,,,,,,,,,,, ,2.56,NA,,2.6,3.2,3.8,4.2,4.4,,6.1,6.1,2.4,,
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,FALSE,FALSE,Miyan Williams*,Ohio State,Big Ten,RB,RB32,4JR,,5084,229,900,2858,6958,DNP,DNP,--,--,--,--,--,10.29.01,22.5,3.38,-0.87,4.25,2.5,3.1,3.1,3.1,3.1,,3.3,1.2,0.2,5,5.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,La'Damian Webb,South Alabama,Sun Belt,RB,RB33,5SR,,,,,,,,,,,,,,, ,2.45,NA,,2.4,3.1,3.6,4.0,4.2,,5.4,7.1,1.9,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Vincent Davis,UNLV,MWC,RB,RB34,5SR,,,,,,,,,,,,,,, ,2.38,NA,,2.4,3.0,3.5,3.9,4.1,,5.8,3.6,9.6,,
167,UDFA,UDFA,TRUE,TRUE,FALSE,FALSE,FALSE,Keilan Robinson,Texas,Big 12,RB,RB35,5SR,,5083,191,958,3058,7438,1.55,4.42,--,--,--,33,1005,02.16.00,24.2,3.32,-0.98,4.30,2.3,2.9,3.1,3.1,3.2,,4.3,2.3,0.2,7.32,-0.7
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ja'Den McKenzie,Rhode Island,,RB,RB36,6SR,,,,,,,,,,,,,,, ,2.20,NA,,2.2,2.7,3.2,3.6,4.0,,8.1,-1.5,4.6,,
UDFA,UDFA,UDFA,TRUE,TRUE,TRUE,FALSE,FALSE,Cody Schrader,Missouri,SEC,RB,RB37,6SR,,5084,202,918,2818,6858,1.6,4.61,--,--,--,33,--,09.08.99,24.7,3.75,-1.75,5.50,2.0,2.4,2.5,2.5,2.8,,4.9,1.0,4.5,2.34,-2.2
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Isaiah Ifanse,Cal,,RB,RB38,6SR,,,,,,,,,,,,,,, ,1.89,NA,,1.9,2.4,2.8,3.1,3.4,,6.2,0.2,6,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,TaMerik Williams,North Dakota State,,RB,RB39,6SR,,,,,,,,,,,,,,, ,1.83,NA,,1.8,2.3,2.7,3.0,3.3,,5.7,2.0,1.3,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,LaDarius Owens,Texas Southern,,RB,RB40,5SR,,,,,,,,,,,,,,, ,1.81,NA,,1.8,2.3,2.7,2.9,3.1,,4.7,2.3,5.8,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Austin Jones,USC,Pac-12,RB,RB41,5SR,,5095,200,828,2928,7028,1.64,4.57,,,,,,02.07.01,23.2,2.87,-1.13,4.00,1.7,2.2,2.3,2.6,2.7,,2.3,1.5,5.7,5.73,2.5
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Dontae Smith,Georgia Tech,ACC,RB,RB42,6SR,,,,,,,,,,,,,,, ,1.49,NA,,1.5,1.9,2.2,2.4,2.7,,3.7,3.4,3.6,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Larry McCammon III,Florida Atlantic,,RB,RB43,5SR,,,,,,,,,,,,,,, ,1.44,NA,,1.4,1.8,2.1,2.4,2.5,,3.3,1.7,10,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,TRUE,Deshaun Fenwick,Oregon State,Pac-12,RB,RB44,6SR,,,,,,,,,,,,,,, ,1.43,NA,,1.4,1.7,2.1,2.3,2.5,,3.2,4.7,0.2,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Mario Anderson,South Carolina,SEC,RB,RB45,5SR,,,,,,,,,,,,,,, ,1.42,NA,,1.4,1.8,2.1,2.3,2.4,,4.3,1.3,0.6,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,TRUE,Jabari Small,Tennessee,SEC,RB,RB46,4SR,,5086,198,868,2978,7268,1.55,4.59,,,,,,01.31.02,22.3,2.64,-1.41,4.05,1.2,1.5,1.6,1.8,1.8,,0.4,0.5,1.2,5.24,5.8
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Noah Cain,LSU,SEC,RB,RB47,5SR,,,,,,,,,,,,,,, ,1.22,NA,,1.2,1.5,1.8,2.0,2.1,,3.5,0.5,4.7,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ryan Montgomery,Cincinnati,AAC,RB,RB48,5SR,,,,,,,,,,,,,,, ,1.21,NA,,1.2,1.5,1.8,2.0,2.1,,2.1,4.5,2.4,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,FALSE,Jacob Kibodi,Louisiana,Sun Belt,RB,RB49,7SR,,,,,,,,,,,,,,, ,1.21,NA,,1.2,1.5,1.7,1.9,2.3,,3.3,2.5,2.4,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,C'Bo Flemister,Pitt,,RB,RB50,6SR,,,,,,,,,,,,,,, ,1.07,NA,,1.1,1.3,1.6,1.7,1.9,,3.2,0.6,4.5,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Josh Henderson,Indiana,Big Ten,RB,RB51,5SR,,,,,,,,,,,,,,, ,1.06,NA,,1.1,1.3,1.6,1.7,1.8,,1,5.9,3.2,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,TD Ayo-Durojaiye,Villanova,,RB,RB52,5SR,,,,,,,,,,,,,,, ,1.06,NA,,1.1,1.3,1.6,1.7,1.8,,2.1,2.3,6.1,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Perris Jones,Virginia,ACC,RB,RB53,6SR,,,,,,,,,,,,,,, ,1.01,NA,,1.0,1.3,1.5,1.6,1.8,,5,-3.4,0.2,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Samson Evans,Eastern Michigan,MAC,RB,RB54,6SR,,,,,,,,,,,,,,, ,0.99,NA,,1.0,1.2,1.5,1.6,1.8,,1.8,3.4,4.7,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Donavyn Lester,UNLV,MWC,RB,RB55,5SR,,,,,,,,,,,,,,, ,0.92,NA,,0.9,1.2,1.4,1.5,1.6,,2.1,1.0,6.6,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Dylan McDuffie,Kansas,Big 12,RB,RB56,6SR,,,,,,,,,,,,,,, ,0.89,NA,,0.9,1.1,1.3,1.5,1.6,,3.1,0.1,1,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Elijah Collins,Oklahoma State,Big 12,RB,RB57,6SR,,,,,,,,,,,,,,, ,0.81,NA,,0.8,1.0,1.2,1.3,1.5,,2.5,0.5,2.3,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,British Brooks,North Carolina,ACC,RB,RB58,6SR,,,,,,,,,,,,,,, ,0.75,NA,,0.8,0.9,1.1,1.2,1.4,,1.1,3.0,4.6,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ramon Jefferson,Kentucky,SEC,RB,RB59,7SR,,,,,,,,,,,,,,, ,0.61,NA,,0.6,0.8,0.9,1.0,1.2,,2.3,0.2,0,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Aidan Robbins,BYU,Ind.,RB,RB60,5SR,,,,,,,,,,,,,,, ,0.60,NA,,0.6,0.7,0.9,1.0,1.0,,2.2,-0.5,0.7,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Colson Yankoff,UCLA,Pac-12,RB,RB61,6SR,,,,,,,,,,,,,,, ,0.54,NA,,0.5,0.7,0.8,0.9,1.0,,1.8,0.3,0.2,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Latrell Collier,North Carolina Central,,RB,RB62,6SR,,,,,,,,,,,,,,, ,0.51,NA,,0.5,0.6,0.7,0.8,0.9,,0.2,3.0,4.4,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Isaiah Woullard,UL Monroe,,RB,RB63,6SR,,,,,,,,,,,,,,, ,0.48,NA,,0.5,0.6,0.7,0.8,0.9,,1.6,-0.7,4.4,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Christian Turner,Indiana,Big Ten,RB,RB64,6SR,,,,,,,,,,,,,,, ,0.45,NA,,0.4,0.6,0.7,0.7,0.8,,1.5,0.5,-0.8,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Malik Jackson,Jacksonville State,,RB,RB65,6SR,,,,,,,,,,,,,,, ,0.43,NA,,0.4,0.5,0.6,0.7,0.8,,1.4,-1.5,7.8,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nakia Watson,Washington State,Pac-12,RB,RB66,6SR,,,,,,,,,,,,,,, ,0.43,NA,,0.4,0.5,0.6,0.7,0.8,,0.2,3.2,0.6,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Dominic Roberto,Furman,,RB,RB67,5SR,,,,,,,,,,,,,,, ,0.42,NA,,0.4,0.5,0.6,0.7,0.7,,0.4,2.4,0.9,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Trey Potts,Penn State,Big Ten,RB,RB68,5SR,,,,,,,,,,,,,,, ,0.38,NA,,0.4,0.5,0.6,0.6,0.7,,1.4,-0.4,0.7,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jared Wilson,Mississippi Valley State,,RB,RB69,6SR,,,,,,,,,,,,,,, ,0.36,NA,,0.4,0.4,0.5,0.6,0.7,,1.4,-1.0,3.1,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Juma Otoviano,Rice,C-USA,RB,RB70,6SR,,,,,,,,,,,,,,, ,0.29,NA,,0.3,0.4,0.4,0.5,0.5,,1.5,-1.3,0.7,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nathaniel Peat,Missouri,SEC,RB,RB71,5SR,,,,,,,,,,,,,,, ,0.18,NA,,0.2,0.2,0.3,0.3,0.3,,0,1.0,2.2,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Mark-Antony Richards,UCF,AAC,RB,RB72,5SR,,,,,,,,,,,,,,, ,0.13,NA,,0.1,0.2,0.2,0.2,0.2,,-0.1,0.9,1.7,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Reese White,Coastal Carolina,Sun Belt,RB,RB73,5SR,,,,,,,,,,,,,,, ,0.12,NA,,0.1,0.2,0.2,0.2,0.2,,0,0.8,1.1,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Deion Smith,BYU,Ind.,RB,RB74,6SR,,,,,,,,,,,,,,, ,0.09,NA,,0.1,0.1,0.1,0.1,0.2,,-0.1,1.1,0.1,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jordan Davis,Kutztown,,RB,RB75,5SR,,,,,,,,,,,,,,, ,0.09,NA,,0.1,0.1,0.1,0.1,0.2,,0.3,0.0,0,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,David Bailey,Texas A&M,SEC,RB,RB76,6SR,,,,,,,,,,,,,,, ,0.03,NA,,0.0,0.0,0.0,0.1,0.1,,0,0.3,-0.2,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Dakereon Joyner,South Carolina,SEC,RB,RB77,6SR,,,,,,,,,,,,,,, ,-0.01,NA,,0.0,0.0,0.0,0.0,0.0,,-1.1,1.3,5.3,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,DJ Williams,Arizona,Pac-12,RB,RB78,5SR,,,,,,,,,,,,,,, ,-0.06,NA,,-0.1,-0.1,-0.1,-0.1,-0.1,,-0.2,0.0,0,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Latrele Palmer,James Madison,Sun Belt,RB,RB79,5SR,,,,,,,,,,,,,,, ,-0.06,NA,,-0.1,-0.1,-0.1,-0.1,-0.1,,-0.7,0.5,3,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ra'veion Hargrove,Northern Colorado,,RB,RB80,6SR,,,,,,,,,,,,,,, ,-0.19,NA,,-0.2,-0.2,-0.3,-0.3,-0.3,,-1.4,1.9,-0.5,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chris Curry,Utah,Pac-12,RB,RB81,6SR,,,,,,,,,,,,,,, ,-0.19,NA,,-0.2,-0.2,-0.3,-0.3,-0.3,,-0.7,0.1,-0.4,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Richard Newton,Washington,Pac-12,RB,RB82,6SR,,,,,,,,,,,,,,, ,-0.29,NA,,-0.3,-0.4,-0.4,-0.5,-0.5,,-1.1,0.0,0.3,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Anthony Grant,Nebraska,Big Ten,RB,RB83,6SR,,,,,,,,,,,,,,, ,-0.31,NA,,-0.3,-0.4,-0.5,-0.5,-0.6,,-1,-0.6,1.1,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nazar Bombata,Arizona,Pac-12,RB,RB84,6SR,,,,,,,,,,,,,,, ,-0.33,NA,,-0.3,-0.4,-0.5,-0.5,-0.6,,-1.2,0.0,0,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Earnest Crownover,Texas A&M,SEC,RB,RB85,5SR,,,,,,,,,,,,,,, ,-0.47,NA,,-0.5,-0.6,-0.7,-0.8,-0.8,,-2,0.9,0.3,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Harold Joiner III,Michigan State,,RB,RB86,6SR,,,,,,,,,,,,,,, ,-0.62,NA,,-0.6,-0.8,-0.9,-1.0,-1.1,,-2.3,0.1,0,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kavosiey Smoke,Colorado,Pac-12,RB,RB87,6SR,,,,,,,,,,,,,,, ,-0.63,NA,,-0.6,-0.8,-0.9,-1.0,-1.1,,-2.3,0.1,0,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Eddie Battle,Florida,SEC,RB,RB88,6SR,,,,,,,,,,,,,,, ,-1.05,NA,,-1.1,-1.3,-1.6,-1.7,-1.9,,-3.9,0.1,0.3,,
