Pick Taken,Grade,,In,Combine,Senior,Shrine,Hula,Name,School,Pos,Pos Rank,FS%,BOX%,SLOT%,Class,#,HT,WT,Hand,Arm,Wing,10,40,Bench,3Cone,SS,Vert,Broad,DOB,Age,Final Grade,Difference,DB Grade,Final Data Grade,Senior/Shrine invite Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Coverage,Run Defense,Tackling ,RAS,Age
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,John Huggins,Jackson State,SAF,SAF42,1%,45%,48%,6SR,,6010,213,938,3168,7668,1.59,4.45,,,,,,03.20.00,24.1,3.58,-0.45,4.03,3.13,3.13,3.48,3.87,4.30,,5.11,1.82,-0.52,8.66,-0.41
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,TRUE,Shawn Preston Jr.,Mississippi State,SAF,SAF43,47%,35%,13%,6SR,,,,,,,,,,,,,,, ,3.58,-0.13,3.71,3.45,3.45,3.83,4.26,4.73,,6.26,5.69,2.51,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Steve Stephens IV,Oregon,SAF,SAF44,62%,12%,24%,6SR,,,,,,,,,,,,,,, ,3.55,-0.05,3.60,3.49,3.49,3.88,4.31,4.79,,6.64,3.15,6.73,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Tywan Francis,Temple,SAF,SAF45,37%,31%,28%,6SR,,,,,,,,,,,,,,, ,3.41,-0.13,3.54,3.27,3.27,3.64,4.04,4.49,,5.71,5.12,6.67,,0.00
250,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Sanoussi Kane,Purdue,SAF,SAF46,4%,56%,30%,5SR,,5115,207,948,3118,7648,1.5,4.52,,,,,,10.06.01,22.6,3.40,-0.83,4.23,2.58,2.58,2.86,3.18,3.35,,0.21,5.99,3.81,8.18,4.75
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Jordan Toles,Morgan State,SAF,SAF47,60%,25%,11%,4SR,,,,,,,,,,,,,,, ,3.14,0.32,2.82,3.46,3.46,3.84,4.27,4.27,,5.47,5.12,3.55,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Robert Kennedy,North Carolina State,SAF,SAF48,13%,10%,59%,5SR,,,,,,,,,,,,,,, ,3.13,NA,,3.13,3.13,3.48,3.87,4.07,,4.58,6.87,5.11,,0.00
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chris Edmonds,Arizona State,SAF,SAF49,25%,55%,16%,5SR,,6023,210,868,3068,7468,1.61,4.46,,,,,,07.16.01,22.8,2.92,-1.39,4.31,1.53,1.53,1.70,1.89,1.99,,-0.59,4.36,3.10,5.62,4.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Jahdae Barron,Texas,SAF,SAF50,3%,24%,61%,4SR,,,,,,,,,,,,,,, ,2.74,NA,,2.74,2.74,3.04,3.38,3.38,,3.69,5.83,4.40,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Manny Smith,North Carolina Central,SAF,SAF51,28%,27%,27%,6SR,,,,,,,,,,,,,,, ,2.64,NA,,2.64,2.64,2.94,3.26,3.62,,4.24,5.44,4.05,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Noah Pierre,Indiana,SAF,SAF52,6%,12%,75%,6SR,,,,,,,,,,,,,,, ,2.47,NA,,2.47,2.47,2.75,3.05,3.39,,4.20,4.22,8.38,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Clay Fields III,Chattanooga,SAF,SAF53,28%,36%,34%,6SR,,,,,,,,,,,,,,02.15.00,24.2,2.36,NA,,2.36,2.36,2.62,2.91,3.23,,3.80,4.38,6.60,,-0.72
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Jay Stanley,Southern Miss,SAF,SAF54,58%,30%,11%,5SR,,,,,,,,,,,,,,, ,2.33,NA,,2.33,2.33,2.59,2.88,3.03,,4.40,2.74,-2.22,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Tyler Judson,Southern,SAF,SAF55,5%,18%,61%,5SR,,,,,,,,,,,,,,, ,2.25,NA,,2.25,2.25,2.50,2.77,2.92,,3.76,4.39,-2.12,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Martell Irby,Arizona,SAF,SAF56,3%,47%,39%,6SR,,,,,,,,,,,,,,, ,2.17,1.43,0.74,3.60,3.60,4.00,4.45,4.94,,6.29,7.67,1.03,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Nicario Harper,Illinois,SAF,SAF57,2%,54%,36%,6SR,,,,,,,,,,,,,,, ,2.03,NA,,2.03,2.03,2.26,2.51,2.79,,3.81,3.02,2.89,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Jordan Carter,Southern,SAF,SAF58,70%,16%,12%,6SR,,,,,,,,,,,,,,, ,2.02,NA,,2.02,2.02,2.25,2.50,2.77,,3.38,4.03,-1.05,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Jarius Reimonenq,James Madison,SAF,SAF59,3%,19%,65%,5SR,,,,,,,,,,,,,,, ,1.99,NA,,1.99,1.99,2.21,2.45,2.58,,3.40,3.20,0.11,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,TRUE,Jalyn Phillips,Clemson,SAF,SAF60,41%,41%,14%,5SR,,,,,,,,,,,,,,, ,1.68,NA,,1.68,1.68,1.87,2.08,2.19,,2.52,2.02,7.53,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Jordan Anderson,UCLA,SAF,SAF61,17%,24%,56%,5SR,,,,,,,,,,,,,,, ,1.65,NA,,1.65,1.65,1.83,2.03,2.14,,2.68,3.32,-2.44,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Aljareek Malry,Ball State,SAF,SAF62,40%,33%,26%,5SR,,,,,,,,,,,,,,, ,1.58,NA,,1.58,1.58,1.76,1.95,2.05,,2.19,3.77,2.57,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Jaylen Evans,South Carolina State,SAF,SAF63,27%,46%,15%,7SR,,,,,,,,,,,,,,, ,1.33,NA,,1.33,1.33,1.48,1.64,1.94,,1.67,3.57,3.86,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Walter Reynolds,Ohio,SAF,SAF64,34%,37%,22%,6SR,,,,,,,,,,,,,,, ,1.20,NA,,1.20,1.20,1.33,1.48,1.64,,0.81,4.35,6.22,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Malik Fleming,Houston,SAF,SAF65,21%,20%,42%,5SR,,,,,,,,,,,,,,, ,1.18,NA,,1.18,1.18,1.31,1.46,1.54,,0.71,4.82,5.40,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Myles Heard,Louisiana Tech,SAF,SAF66,31%,51%,16%,5SR,,,,,,,,,,,,,,, ,1.14,NA,,1.14,1.14,1.27,1.41,1.49,,3.41,-0.65,-1.83,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Keondre Swoopes,UAB,SAF,SAF67,17%,43%,35%,5SR,,,,,,,,,,,,,,, ,1.13,NA,,1.13,1.13,1.25,1.39,1.46,,0.99,3.73,2.69,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Chase Williams,San Jose State,SAF,SAF68,50%,32%,15%,6SR,,,,,,,,,,,,,,, ,0.89,NA,,0.89,0.89,0.99,1.10,1.22,,1.39,1.94,1.46,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Malcolm Magee,South Carolina State,SAF,SAF69,46%,11%,39%,7SR,,,,,,,,,,,,,,09.01.99,24.7,0.85,NA,,0.85,0.85,0.95,1.05,1.24,,1.42,2.85,0.05,,-2.25
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Jason Simmons Jr.,Syracuse,SAF,SAF70,19%,32%,48%,5SR,,,,,,,,,,,,,,, ,0.66,NA,,0.66,0.66,0.73,0.82,0.86,,0.41,3.18,1.15,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Max Williams,USC,SAF,SAF71,19%,46%,32%,5SR,,,,,,,,,,,,,,, ,0.60,NA,,0.60,0.60,0.67,0.74,0.78,,-0.05,4.12,-1.03,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Cedarious Barfield,San Diego State,SAF,SAF72,23%,31%,43%,6SR,,,,,,,,,,,,,,, ,0.35,NA,,0.35,0.35,0.39,0.43,0.48,,1.10,-0.78,-0.48,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Nick Ross,Appalachian State,SAF,SAF73,40%,31%,27%,5SR,,,,,,,,,,,,,,, ,0.17,NA,,0.17,0.17,0.18,0.20,0.21,,-0.62,2.50,3.75,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Marcus Banks,Mississippi State,SAF,SAF74,29%,21%,47%,5SR,,,,,,,,,,,,,,, ,0.02,NA,,0.02,0.02,0.03,0.03,0.03,,-0.09,0.68,-1.63,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Kanion Williams,Tulsa,SAF,SAF75,33%,40%,22%,6SR,,,,,,,,,,,,,,, ,-1.05,NA,,-1.05,-1.05,-1.16,-1.29,-1.43,,-2.69,1.53,-5.30,,0.00
