Pick Taken,Grade,,In,Combine,Senior,Shrine,Hula,Name,School,Conf,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,Bench,3Cone,SS,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Final  Data Grade,Senior/Shrine Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Reciving,Pass Block,Run Block,RAS,Age
246,UDFA,PFA,TRUE,TRUE,FALSE,FALSE,FALSE,Devin Culp,WASHINGTON,,TE,TE19,6SR,,6031,231,928,3278,7848,1.59,4.47,DNP,7.28,4.31,35,910,02.22.00,24.2,4.09,-0.26,4.35,3.83,3.9,3.9,3.9,4.3,,3.55,7.5,7.8,8.14,1.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Cam Grandy,ILL STATE,,TE,TE20,6SR,,6045,253,918,3248,7878,1.65,4.9,21,7.34,4.57,28.50,903,,24.0,3.89,0.31,3.58,4.19,4.3,4.3,5.0,5.6,,6.71,8.6,1.3,4.11,1.7
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lincoln Sefcik,S ALABAMA,,TE,TE21,6SR,,6022,238,1038,3200,7548,1.55,4.7,29,7.2,4.2,32.5,909,,24.0,3.86,0.63,3.23,4.50,4.5,4.5,5.3,5.9,,6.61,-0.1,8.1,7.59,1.7
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,David Martin-Robinson,TEMPLE,,TE,TE22,6SR,,6035,247,968,3278,7800,1.54,4.65,15,7.08,4.08,35.50,,, ,3.47,-0.28,3.75,3.18,3.0,3.0,3.6,4.0,,4.33,6.9,1.3,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Zach Heins,South Dakota St,,TE,TE23,6SR,,6061,259,978,3278,7928,1.72,5.00,DNP,7.56,4.52,29,900,04.21.00,24.0,3.41,-0.69,4.10,2.72,2.8,2.8,3.3,3.6,,3.86,6.75,7.5,2.2,1.5
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Devon Garrison,Pittsburg State,,TE,TE24,,,6046,239,1018,3238,7858,1.53,4.55,10,7.09,4.5,31.50,,,,3.40,NA,3.40,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Treyton Welch,WYOMING,,TE,TE25,5SR,,6034,241,1018,3338,8048,1.64,4.63,25,7.13,4.25,34.00,1003,, ,3.26,-0.10,3.36,3.17,3.0,3.0,3.6,3.7,,3.55,6.4,8.0,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Thomas Yassmin,UTAH,,TE,TE26,6SR,,6046,245,938,3218,7900,1.64,4.68,DNP,7.01,4.52,32.00,1000,10.21.00,23.5,3.14,-1.01,4.15,2.12,2.1,2.1,2.5,2.8,,2.23,2.8,-1.7,7.82,3.2
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Marshel Martin,Sacramento St.,,TE,TE27,,,6013,222,918,3238,7718,1.60,4.51,14,6.9,4.19,36.50,,,,3.05,NA,3.05,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Trent Pennix,NC STATE,,TE,TE28,6SR,,6012,234,1000,3000,7400,1.57,4.59,14,6.92,4.27,36.50,,, ,3.04,-0.10,3.14,2.93,3.0,3.0,3.5,3.9,,4.32,6.9,-0.5,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,TRUE,Isaac Rex,BYU,,TE,TE29,5SR,,6053,247,968,3200,7828,1.75,4.94,24,7.35,5,27.00,,, ,3.03,-0.68,3.71,2.36,2.4,2.4,2.8,3.0,,2.83,6.7,1.8,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Joe Evans,Iowa,,TE,TE30,,,6013,246,928,3048,7378,1.61,4.7,24,7.1,4.4,41.50,,,,3.01,NA,3.01,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jacob Warren,TENNESSEE,,TE,TE31,6SR,,6060,251,958,3378,8300,1.72,4.93,14,7.37,4.46,31.50,,, ,3.00,-0.62,3.62,2.37,2.4,2.4,2.9,3.2,,3.29,5.0,1.0,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Dylan Leonard,GA TECH,,TE,TE32,5SR,,6051,242,948,3268,7748,1.63,4.75,20,7.6,4.53,32.50,909,, ,2.98,0.41,2.57,3.39,3.4,3.4,4.0,4.2,,4.62,7.5,2.5,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Joey Gatewood,LOUISVILLE,,TE,TE33,6SR,,6042,241,1028,3268,7648,1.66,4.76,18,7.22,4.65,29.00,,, ,2.93,-0.04,2.97,2.88,2.7,2.7,3.2,3.6,,4.13,0.2,2.9,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,FALSE,Mason Pline,FURMAN,,TE,TE34,6SR,,6063,251,1028,3300,7858,1.64,4.79,DNP,7.45,4.65,33,910,02.05.00,24.2,2.92,-1.33,4.25,1.58,1.6,1.6,1.9,2.1,,1.04,8.0,0.6,6.66,0.9
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Brenden Bates,KENTUCKY,,TE,TE35,6SR,,6043,246,900,3300,7700,1.70,4.66,21,7.1,4.47,33.5,1002,10.16.00,23.5,2.92,-1.13,4.05,1.78,1.7,1.7,2.0,2.2,,0.80,7.1,2.4,7.64,3.2
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Alec Holler,UCF,,TE,TE36,6SR,,6027,242,968,3000,7448,1.66,4.77,15,7.06,4.45,33.00,,, ,2.91,-0.53,3.44,2.37,2.4,2.4,2.8,3.1,,3.24,4.1,1.8,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Max Wright,TEXAS A&M,,TE,TE37,6SR,,6032,249,868,3218,7700,DNP,DNP,DNP,DNP,DNP,DNP,,, ,2.86,-0.24,3.10,2.63,2.7,2.7,3.1,3.5,,3.50,6.7,2.8,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,AJ Hence,Western Michigan,,TE,TE38,,,6032,229,938,3268,7868,1.66,4.74,15,7.18,4.48,35.50,,,,2.83,NA,2.83,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Neal Johnson,LA LAFAYET,,TE,TE39,5SR,,6035,245,958,3268,8038,1.66,4.75,12,7.06,4.41,28.00,,, ,2.83,-0.05,2.88,2.77,2.6,2.6,3.1,3.3,,3.13,7.0,3.3,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Baylor Cupp,TEXAS TECH,,TE,TE40,5SR,,6063,243,1038,3300,8028,DNP,DNP,23,DNP,DNP,30.00,,, ,2.81,-0.11,2.92,2.71,2.6,2.6,3.0,3.2,,2.80,7.0,6.3,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nick Dixon,Florida A&M,,TE,TE41,,,6010,206,978,3228,7768,1.63,4.67,11,7.46,4.65,36.00,,,,2.79,NA,2.79,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kevin Foelsch,New Haven,,TE,TE42,,,6033,247,918,3258,7818,1.61,4.65,21,7.59,4.53,33.00,,,,2.75,NA,2.75,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Geor'quarius Spivey,Mississippi State,,TE,TE43,,,6045,238,978,3318,7928,1.63,4.58,15,7.45,4.77,33.50,,,,2.70,NA,2.70,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Austin Stogner,OKLAHOMA,,TE,TE44,5SR,,6060,254,968,3400,8138,1.68,4.85,16,7.25,4.39,35.00,908,, ,2.66,-0.52,3.18,2.14,2.2,2.2,2.6,2.7,,2.72,2.7,1.6,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chaese Jackson,Robert Morris,,TE,TE45,,,6007,235,968,3238,7858,1.56,4.77,27,7.31,4.41,30.00,,,,2.66,NA,2.66,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Shelton Zeon,UNLV,,TE,TE46,,,6030,256,1038,3618,8568,1.63,4.63,DNP,7.4,4.8,33.50,,,,2.62,NA,2.62,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jjay Mcafee,GA SOUTHRN,,TE,TE47,6SR,,6027,236,900,3358,7800,1.64,4.69,18,DNP,4.64,34.50,,, ,2.60,0.51,2.09,3.12,3.0,3.0,3.5,3.9,,4.13,8.5,0.7,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Owen Glascoe,Long Island,,TE,TE48,,,6027,244,1048,3128,7700,1.72,4.63,20,DNP,DNP,DNP,,,,2.53,NA,2.53,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Riley Sharp,OREGON ST,,TE,TE49,6SR,,6047,237,958,3268,7828,1.62,4.74,23,7,4.41,33.50,,, ,2.49,-1.04,3.53,1.46,1.4,1.4,1.6,1.8,,1.29,3.4,2.2,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,AJ Lewis,Alabama State,,TE,TE50,,,6026,249,958,3168,7748,1.64,4.81,17,7.59,4.59,30.50,,,,2.49,NA,2.49,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Alex Larson,Saint John's,,TE,TE51,,,6060,238,1018,3248,7848,1.81,5.09,8,7.03,4.52,30.50,,,,2.40,NA,2.40,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Malcolm Epps,PITTSBURGH,,TE,TE52,6SR,,6057,257,928,3518,8248,1.65,4.72,9,7.75,4.59,33,,, ,2.38,-0.93,3.31,1.46,1.5,1.5,1.7,1.9,,1.90,1.0,-1.7,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Mike O'Laughlin,HOUSTON,,TE,TE53,6SR,,6047,241,968,3178,7548,1.70,4.83,18,7.63,4.51,29.00,,, ,2.38,-0.06,2.44,2.33,2.4,2.4,2.8,3.1,,2.81,6.2,5.9,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Keaton Upshaw,Georgia Southern,,TE,TE54,,,6060,250,978,3328,7800,1.75,5.07,DNP,8.14,5,29.00,,,,2.35,NA,2.35,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Luke Benson,GA TECH,,TE,TE55,5SR,,6035,241,900,3048,7548,1.55,4.52,20,7.52,4.57,35.00,,, ,2.27,-1.22,3.49,1.05,1.1,1.1,1.3,1.3,,0.24,4.0,6.1,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Andrew Van Buren,Portland State,,TE,TE56,,,6003,248,928,3148,7628,1.71,4.79,14,7.47,4.47,29.50,,,,2.27,NA,2.27,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Derryk Snell,Montana State,,TE,TE57,,,6006,231,938,3238,7678,1.69,4.83,16,7.23,4.37,29.00,,,,2.18,NA,2.18,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kamari Young,FL A&M,,TE,TE58,5SR,,6020,238,958,3348,7828,1.60,4.78,10,7.79,4.71,32.00,,, ,2.18,0.70,1.48,2.88,2.9,2.9,3.4,3.6,,3.70,9.1,0.2,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Mike Rigerman,Findlay,,TE,TE59,,,6023,244,1058,3128,7528,1.63,4.7,24,7,4.31,28.00,,,,2.14,NA,2.14,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Curtis Raymond III,TCU,,TE,TE60,,,6035,220,948,3258,7868,1.71,4.63,DNP,7.14,4.48,27.50,,,,2.05,NA,2.05,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Johnny Dietl,Shorter,,TE,TE61,,,6050,231,968,3428,8068,1.65,4.83,12,7.71,4.59,31.50,,,,1.92,NA,1.92,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Patrick McSweeney,Citadel,,TE,TE62,,,6034,241,928,3148,7678,1.70,4.96,15,7.52,4.53,34.50,,,,1.88,NA,1.88,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Braden Brose,Delaware,,TE,TE63,,,6020,242,978,3200,7800,1.68,4.83,17,7.32,4.47,32.50,,,,1.79,NA,1.79,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Messiah Swinson,ARIZONA ST,,TE,TE64,6SR,,6071,259,1068,3418,8268,1.77,4.85,15,7.63,4.77,28,,, ,1.75,-1.52,3.27,0.24,0.2,0.2,0.3,0.3,,-1.11,8.0,-0.2,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Thomaz Whitford,NEW MEX ST,,TE,TE65,6SR,,6027,252,978,3228,7928,1.69,4.87,21,7.66,4.57,33.50,,, ,1.74,0.08,1.66,1.82,1.9,1.9,2.2,2.5,,2.64,1.2,-1.0,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Gino Campiotti,UMass,,TE,TE66,,,6012,223,900,3028,7348,1.56,4.86,7,7.59,4.53,32.00,,,,1.70,NA,1.70,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Turon Ivy Jr.,IDAHO,,TE,TE67,6SR,,6037,236,1000,3500,8258,1.71,4.84,13,7.25,4.51,34.00,,, ,1.70,-0.13,1.83,1.57,1.6,1.6,1.9,2.1,,1.93,0.0,2.3,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,DJ Stevens,JACKSON ST,,TE,TE68,6SR,,6024,227,900,3218,7738,1.70,4.78,10,7.69,4.76,29.50,,, ,1.67,-0.34,2.01,1.33,1.4,1.4,1.6,1.8,,1.46,3.7,-1.4,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Johnny Langan,RUTGERS,,TE,TE69,6SR,,6027,232,938,3268,7858,DNP,DNP,21,DNP,DNP,DNP,,, ,1.62,0.09,1.53,1.71,1.6,1.6,1.9,2.1,,1.49,5.6,3.9,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Matt Alaimo,Coastal Carolina,,TE,TE70,,,6043,242,1028,3200,7828,1.67,4.98,11,7.27,4.64,26.50,,,,1.61,NA,1.61,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nolan Quinlan,LA MONROE,,TE,TE71,6SR,,6047,236,968,3248,8038,1.76,4.96,18,7.41,4.67,31.00,,, ,1.53,1.27,0.26,2.81,2.9,2.9,3.4,3.7,,4.09,6.1,0.8,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Steven Stilianos,IOWA,,TE,TE72,6SR,,6046,251,1000,3200,7858,1.65,5.01,16,7.45,4.68,33.50,905,, ,1.53,-0.04,1.57,1.49,1.5,1.5,1.8,2.0,,1.55,1.3,4.8,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,TJ Banks,Akron,,TE,TE73,,,6047,245,958,3348,7958,1.84,5.31,13,7.49,4.89,29.50,,,,1.44,NA,1.44,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ryan Rivera,Louisiana Tech,,TE,TE74,,,6014,236,968,3028,7578,1.59,4.65,11,7.23,4.38,33.00,,,,1.40,NA,1.40,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Shawn Bowman,RUTGERS,,TE,TE75,6SR,,6046,249,958,3328,7978,1.69,4.94,15,7.28,4.45,30.50,,, ,1.37,-0.94,2.31,0.43,0.4,0.4,0.5,0.6,,-0.64,6.0,0.4,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Joshua Quiett,Grambling,,TE,TE76,,,6021,225,948,3400,8138,1.60,4.8,13,7.77,4.55,32.00,,,,1.31,NA,1.31,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Easton Dean,Iowa State,,TE,TE77,,,6061,251,978,3338,8058,1.72,4.96,18,7.59,4.49,31.00,,,,1.26,NA,1.26,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Blake Gobel,E. Washington,,TE,TE78,,,6061,254,968,3438,8300,1.81,5.07,DNP,7.51,4.65,32.00,,,,1.22,NA,1.22,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Colin O'Brien,Wyoming,,TE,TE79,,,6050,240,948,3318,7978,1.72,4.83,18,7.2,4.57,31.00,,,,1.18,NA,1.18,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Hayden Rucci,WISCONSIN,,TE,TE80,5SR,,6046,247,1048,3168,7900,1.84,5.02,19,7.53,4.4,32.00,907,, ,1.18,-0.78,1.96,0.39,0.4,0.4,0.5,0.5,,-1.02,4.8,5.4,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jaylan Franklin,MICH STATE,,TE,TE81,6SR,,6031,232,968,3300,8000,1.55,4.69,17,7.22,4.63,32.50,1002,, ,1.16,-0.58,1.74,0.58,0.6,0.6,0.7,0.7,,0.16,0.5,-2.2,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jordan Goco,Austin Peay,,TE,TE82,,,6055,245,938,3258,7900,1.78,4.86,14,7.5,4.59,30.00,,,,1.13,NA,1.13,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Justice Dingle,Kentucky,,TE,TE83,,,6010,261,928,3268,7828,1.74,4.83,25,7.59,4.73,32.00,,,,1.09,NA,1.09,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Braden Cassity,Oklahoma State,,TE,TE84,,,6016,239,878,3018,7728,1.78,5.08,21,7.36,4.53,28.00,,,,1.05,NA,1.05,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jacob Logan,SE LA,,TE,TE85,7SR,,6026,233,878,3200,7438,1.62,4.82,21,7.35,4.5,34.50,,, ,1.02,-0.33,1.35,0.68,0.7,0.7,0.8,1.0,,-0.06,6.4,0.3,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Florian Bierbaumer,Austria (Intl.),,TE,TE86,,,6056,250,1038,3318,7928,1.73,4.97,14,7.18,4.73,25.50,,,,1.00,NA,1.00,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ajay Belanger,Western Carolina,,TE,TE87,,,6026,245,968,3300,8038,1.67,5,9,7.7,4.59,30.00,,,,0.96,NA,0.96,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Leak Bryant,Long Island,,TE,TE88,,,6053,246,928,3368,7968,1.73,4.99,DNP,7.53,4.71,30.50,,,,0.92,NA,0.92,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Treyton Pickering,Montana State,,TE,TE89,,,6040,239,918,3148,7658,1.62,4.83,15,7.25,4.37,34.00,,,,0.87,NA,0.87,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jack Bradley,RICE,,TE,TE90,5SR,,6053,245,938,3228,7748,1.84,5.2,6,7.44,4.7,27.00,,, ,0.86,0.82,0.04,1.67,1.7,1.7,2.0,2.1,,2.10,2.7,-1.7,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kyle Klink,McNeese State,,TE,TE91,,,6043,245,968,3248,7978,1.72,4.87,26,7.47,4.7,27.50,,,,0.83,NA,0.83,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Steele Roring,Pittsburg State,,TE,TE92,,,6040,256,1000,3318,7968,1.70,5.1,9,7.78,4.67,30.00,,,,0.78,NA,0.78,,,,,,,,,,,
