Pick Taken,Grade,,IN,Combine,Senior,Shrine,Hula,RP,Name,School,Conference,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3c,Shuttle,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Cutoff Count,Speed Adjust,Size Adjust,Senior/Shrine Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Man,Zone,RAS,Hands,YAC,Separation,Age,Size,Contested Catch,Press
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,John Jiles,West Florida,,WR,WR41,6SR,,6026,219,968,3438,8168,1.57,4.56,,,,,,,0.0,4.19,0.00,4.19,1,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Cole Burgess,SUNY Cortland,,WR,WR42,6SR,,6004,192,918,3048,7358,1.43,4.45,,,,,,,0.0,4.16,0.00,4.16,1,,0.0,0.0,,,,,,,,,,,,,,
191,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Tejhaun Palmer,UAB,C-USA,WR,WR43,6SR,,6016,210,978,3368,7800,1.54,4.45,,,,,,,0.0,4.13,0.00,4.13,0,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Jadon Janke,South Dakota State,,WR,WR44,6SR,,6021,212,900,3038,7378,1.53,4.53,,,,,,,0.0,4.07,0.00,4.07,1,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Tyler Harrell,Miami,ACC,WR,WR45,6SR,,6003,193,948,3200,7700,1.5,4.25,,,,,,,0.0,4.04,0.00,4.04,0,,0.0,0.0,,,,,,,,,,,,,,
187,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Casey Washington,Illinois,Big Ten,WR,WR46,5SR,14,6007,201,978,3118,7600,1.57,4.46,13,7.39,4.43,39.5,1007,3-6-01,23.1,3.92,-0.58,4.50,1,3.3,3.3,3.3,3.3,3.8,3.9,,2.6,2.3,7.33,7.1,3.1,,2.9,6.29,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,David White,Western Carolina,,WR,WR47,,,6021,201,,,,1.59,4.58,14,7.05,4.07,36,,,0.0,3.74,NA,3.74,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Ty James,Mercer,,WR,WR48,,,6002,199,,,,1.71,4.57,DNP,7.28,4.13,33,,,0.0,3.72,NA,3.72,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Isaiah Wooden,Southern Utah,,WR,WR49,,,5070,176,,,,1.38,4.35,13,6.9,4.52,44.5,,,0.0,3.69,NA,3.69,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Tayvion Robinson,Kentucky,SEC,WR,WR50,5SR,9,5104,191,928,3100,7528,1.62,4.75,13,7.02,4.56,32,909,10-1-00,23.6,3.68,-0.66,4.34,3,3.0,3.1,3.2,3.1,3.1,3.2,,3.4,3.9,1.4,1.5,3.5,,1.4,3.4,3.7,
235,UDFA,UDFA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Devaughn Vele,Utah,Pac-12,WR,WR51,5SR,17,6040,203,968,3348,7918,1.58,4.47,11,7.02,4.33,36,1006,12-12-97,26.4,3.68,-0.72,4.40,0,3.0,3.0,2.9,3.2,3.2,3.3,,2.32,1.3,8.46,7.3,1.7,,-7.9,8.23,5.1,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Sam Schnee,Northern Iowa,,WR,WR52,,,5103,191,,,,1.63,4.6,17,6.85,4.13,36.5,,,0.0,3.66,NA,3.66,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hayden Hatten,Idaho,,WR,WR53,,,6012,207,,,,1.61,4.69,14,7.17,4.22,39,,,0.0,3.64,NA,3.64,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Beau Corrales,Texas State,Sun Belt,WR,WR54,,,6027,214,,,,1.6,4.54,21,7.07,4.23,37,,,0.0,3.62,NA,3.62,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Drake Stoops,Oklahoma,Big 12,WR,WR55,6SR,12,5095,186,848,2900,6948,1.63,4.71,8,7.04,4.32,30,811,6-16-99,24.9,3.61,-0.61,4.22,7,3.0,3.1,3.2,3.1,3.7,4.1,,4.62,4.1,1.07,5.9,5.4,,-2.9,2.49,4.3,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Kameron Johnson,Barton College,,WR,WR56,,,5085,184,,,,1.54,4.46,21,7.05,4.33,37.5,,,0.0,3.61,NA,3.61,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Cole Beck,Virginia Tech,ACC,WR,WR57,,,5117,188,,,,1.55,4.33,DNP,7.08,4.25,37.5,,,0.0,3.59,NA,3.59,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Wayne Ruby,Mount Union,,WR,WR58,,,5111,187,,,,1.63,4.64,8,7.06,4.37,30,,,0.0,3.56,NA,3.56,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leon Johnson,Oklahoma State,Big 12,WR,WR59,,,6046,210,,,,1.58,4.54,6,7.16,4.38,35,,,0.0,3.52,NA,3.52,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Billy Bowens,Boise State,MWC,WR,WR60,,,6006,202,,,,1.59,4.44,16,6.9,4.31,39.5,,,0.0,3.51,NA,3.51,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Bryce Oliver,Youngstown State,,WR,WR61,,,6011,214,,,,1.64,4.55,12,7.15,4.31,32,,,0.0,3.48,NA,3.48,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Ajou Ajou,Garden City,,WR,WR62,,,6017,216,,,,DNP,DNP,DNP,DNP,DNP,DNP,,,0.0,3.45,NA,3.45,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Caleb Chapman,Incarnate Word,,WR,WR63,,,6043,213,,,,1.62,4.52,7,6.89,4.36,30.5,,,0.0,3.43,NA,3.43,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Tanner Knue,Eastern Michigan,MAC,WR,WR64,,,5103,179,,,,1.51,4.58,15,7.02,4.16,40,,,0.0,3.42,NA,3.42,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Sam Wiglusz,Ohio,MAC,WR,WR65,,,5105,189,,,,1.63,4.62,11,6.94,4.31,32.5,,,0.0,3.41,NA,3.41,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Dakota Caton,Indiana State,,WR,WR66,,,5090,178,,,,1.52,4.45,15,6.85,4.08,37.5,,,0.0,3.38,NA,3.38,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Praise Olatoke,Nigeria (Intl.),,WR,WR67,,,6021,197,,,,1.53,4.39,15,7.12,4.9,30,,,0.0,3.36,NA,3.36,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Marcus Riley,Florida A&M,,WR,WR68,,,5101,174,,,,1.55,4.44,12,6.95,4.31,34,,,0.0,3.35,NA,3.35,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Dre Tucker,Monmouth,,WR,WR69,,,6000,182,,,,1.61,4.63,8,6.83,4.37,34,,,0.0,3.29,NA,3.29,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Dev Holmes,New Haven,,WR,WR70,,,5076,176,,,,1.51,4.48,12,7.07,4.1,36.5,,,0.0,3.28,NA,3.28,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Ahmarean Brown,South Carolina,SEC,WR,WR71,5SR,10,5080,170,878,2968,7028,1.49,4.37,15,7.13,4.29,35,1000,12-19-00,23.4,3.26,-1.02,4.3,3,2.2,2.2,2.3,2.5,3.0,3.1,,0.01,0.5,6.45,2.7,9.0,,2.1,0.65,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Red Wilson,North Dakota,,WR,WR72,,,5064,170,,,,1.59,4.47,11,7.19,4.25,30,,,0.0,3.19,NA,3.19,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Jordan Kerley,SMU,AAC,WR,WR73,,,6007,185,,,,DNP,DNP,DNP,DNP,DNP,DNP,,,0.0,3.18,NA,3.18,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Ramel Keyton,Tennessee,SEC,WR,WR74,5SR,9,6023,191,978,3268,7918,1.57,4.47,DNP,7.07,4.42,33.5,1004,9-14-00,23.6,3.13,-0.97,4.10,0,2.2,2.2,2.1,2.4,2.8,2.9,,1.75,1,7.22,0.9,4.8,,1.3,6.27,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Smoke Harris,Louisiana Tech,C-USA,WR,WR75,,,5056,178,,,,1.58,4.6,13,7.14,4.45,33,,,0.0,3.12,NA,3.12,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Tim Patrick,Southern Utah,,WR,WR76,,,6002,192,,,,1.45,4.57,14,6.93,4.2,35,,,0.0,3.09,NA,3.09,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Zach McCarron-Mathis,North Dakota St.,,WR,WR77,,,6065,220,,,,1.63,4.63,DNP,7.14,4.51,36.5,,,0.0,3.07,NA,3.07,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Noah Frith,Liberty,Ind.,WR,WR78,,,6040,201,,,,1.59,4.62,DNP,6.84,4.42,36.5,,,0.0,3.05,NA,3.05,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,CJ Hardy,Incarnate Word,,WR,WR79,,,5095,192,,,,1.61,4.59,15,6.65,4.5,36.5,,,0.0,3.02,NA,3.02,,,0.0,0.0,,,,,,,,,,,,,,
