Pick Taken,Round Grade,,In,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos,Pos Rank,Pos Played,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3C,SS,VJ,BJ,DOB,Age,Final GRADE,,DB GRADE,Data Grade,Arm Length Adjust,Combine Invite Grade Adjusted,Year Grade,Raw Grade,Posistional Value ,Pass Pro,Run Blocking,RAS,Arm Length,Age
75,2,2nd,TRUE,TRUE,TRUE,FALSE,FALSE,Kiran Amegadjie,YALE,,OT,OT9,LT,4SR,72,6053,323,958,36.125,8548,DNP,DNP,21,DNP,DNP,DNP,DNP,02.01.02,22.3,7.31,0.61,6.70,7.92,7.7,7.5,7.5,7.5,,9.0,6.8,5.27,10.4,5.8
63,2,2nd,TRUE,TRUE,TRUE,FALSE,FALSE,Kingsley Suamataia,BYU,,OT,OT10,LT,3SO,78,6045,326,1058,34.250,8218,1.73,5.04,31,DNP,DNP,28.00,902,01.18.03,21.3,7.22,0.02,7.20,7.24,7.1,7.0,7.0,6.4,,6.4,4.2,9.40,4.2,9.0
62,3,2nd-3rd,TRUE,TRUE,TRUE,FALSE,FALSE,Roger Rosengarten,WASHINGTON,,OT,OT11,RT,4JR,73,6053,308,958,33.500,8038,1.72,4.92,20,DNP,4.60,30,905,06.03.02,21.9,6.94,0.04,6.90,6.99,6.8,7.2,7.2,7.2,,8.0,5.7,9.19,1.7,6.9
29,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,Tyler Guyton,OKLAHOMA,,OT,OT12,RT,4JR,60,6076,322,1028,34.125,8228,1.76,5.19,DNP,7.50,4.71,34.50,811,06.11.02,21.9,6.87,-0.64,7.51,6.22,6.1,6.0,6.0,6.0,,4.2,6.1,9.73,3.8,7.0
77,3,3rd-4th,TRUE,TRUE,TRUE,FALSE,FALSE,Delmar Glaze,MARYLAND,,OT,OT13,LT,4JR,74,6041,315,1028,34.875,8268,1.77,5.21,29,8.15,4.83,25.5,808,08.04.02,21.7,6.52,0.32,6.20,6.84,6.7,6.6,6.6,6.6,,7.4,6.2,5.53,6.3,7.5
59,4,3rd-4th,TRUE,TRUE,FALSE,FALSE,FALSE,Blake Fisher,NOTRE DAME,,OT,OT14,RT,3JR,54,6056,310,1000,34.375,8300,1.81,5.20,22,7.76,4.73,28,906,03.25.03,21.1,6.49,-0.30,6.79,6.20,6.2,6.1,6.1,5.6,,5.6,3.7,7.72,4.6,9.6
68,4,4th,TRUE,TRUE,FALSE,TRUE,FALSE,Caedan Wallace,PENN STATE,,OT,OT15,RT,5SR,73,6047,314,1068,34.000,8258,1.73,5.15,DNP,7.73,4.96,31,908,04.18.00,23.0,6.18,-0.07,6.25,6.11,6.0,6.0,6.0,6.3,,6.7,5.5,8.22,3.3,3.3
86,4,4th,TRUE,TRUE,TRUE,TRUE,FALSE,Dominick Puni,KANSAS,,OT,OT16,LT,6SR,67,6051,313,1018,33.375,8118,1.85,5.35,26,7.47,4.4,30,811,02.24.00,24.2,6.14,-0.86,7.00,5.28,5.1,5.4,5.4,6.0,,7.1,5.9,6.84,1.3,-0.6
67,4,4th-5th,TRUE,TRUE,TRUE,TRUE,FALSE,Brandon Coleman,TCU,,OT,OT17,LT,6SR,77,6044,313,1068,34.625,8400,1.73,4.99,,,,34,906,10.12.00,23.6,6.07,-0.86,6.92,5.21,5.1,5.0,5.0,5.6,,4.1,5.6,9.69,5.4,1.5
177,5,4th-5th,TRUE,TRUE,FALSE,TRUE,FALSE,Walter Rouse,OKLAHOMA,,OT,OT18,LT,5SR,75,6056,314,1018,35.125,8368,1.84,5.25,,7.89,4.83,33,902,03.09.01,23.2,5.95,0.35,5.60,6.30,6.2,6.1,6.1,6.4,,6.8,5.4,7.86,7.1,2.8
114,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Javon Foster,MISSOURI,,OT,OT19,LT,6SR,76,6054,313,958,34.625,8338,1.77,5.30,18,7.70,4.93,32.50,810,03.31.00,24.1,5.84,-0.16,6.00,5.69,5.6,5.5,5.5,6.1,,6.4,6.8,6.32,5.4,-0.3
162,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Christian Jones,TEXAS,,OT,OT20,RT,6SR,70,6052,305,1058,34.500,8358,1.77,5.04,20,8,4.75,DNP,DNP,05.12.00,24.0,5.77,-0.53,6.30,5.24,5.1,5.1,5.1,5.6,,7.4,3.9,6.17,5.0,0.1
UDFA,6,6th,TRUE,TRUE,TRUE,FALSE,FALSE,Ethan Driskell,MARSHALL,,OT,OT21,LT,6SR,52,6083,313,1048,35.375,8348,DNP,DNP,DNP,DNP,DNP,DNP,DNP,,23.0,5.34,-0.16,5.50,5.17,5.0,4.9,4.9,5.5,,6.2,4.7,5.27,7.9,3.3
UDFA,6,6th,TRUE,TRUE,FALSE,TRUE,FALSE,Gottlieb Ayedze,MARYLAND,,OT,OT22,RT,5SR,72,6041,308,978,33.000,8058,1.71,5.01,21,7.71,DNP,26.50,904,04.10.00,23.0,5.22,-0.38,5.60,4.85,4.8,5.0,5.0,5.3,,6.0,3.9,7.80,0.0,3.3
254,6,6th,TRUE,TRUE,FALSE,TRUE,FALSE,K.T. Leveston,KANSAS ST,,OT,OT23,LT,6SR,,6037,326,978,34.375,8218,1.85,5.38,25,4.89,4.89,27.5,900,10.28.99,24.0,5.11,-0.64,5.75,4.47,4.4,4.4,4.4,4.9,,5.0,5.7,4.52,4.6,0.0
233,6,6th-7th,TRUE,TRUE,FALSE,TRUE,FALSE,Nathan Thomas,LA LAFAYET,,OT,OT24,LT,5SR,,6050,332,1068,33.750,8300,1.76,5.19,24,8.01,4.65,25,811,08.22.01,22.7,5.09,-0.66,5.75,4.43,4.4,4.6,4.6,4.8,,3.4,5.5,7.49,2.5,4.3
204,6,6th-7th,TRUE,TRUE,FALSE,TRUE,TRUE,Tylan Grable,UCF,,OT,OT25,LT,6SR,71,6056,306,1018,33.625,8058,1.69,4.95,DNP,DNP,DNP,36.50,909,10.04.99,24.6,5.05,0.30,4.75,5.36,5.3,5.6,5.6,6.2,,5.8,6.3,9.85,2.1,-1.9
239,6,6th-7th,TRUE,FALSE,FALSE,FALSE,FALSE,Josiah Ezirim,Eastern Kentucky,,OT,OT26,,5SR,,6056,329,1068,35.750,8518,1.92,5.15,,,,,,,,5.05,NA,5.05,,,,,,,,,,,
UDFA,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Jalen Sundell,N DAK ST,,OT,OT27,LT,6SR,72,6050,301,948,33.125,7778,1.77,5.18,26,7.63,4.58,30.5,809,10.18.99,24.5,4.78,0.58,4.20,5.35,5.3,5.6,5.6,6.2,,9.1,3.0,8.65,0.4,-1.8
UDFA,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Garret Greenfield,S DAK ST,,OT,OT28,LT,6SR,74,6056,311,968,33.500,8318,1.76,5.22,DNP,7.76,4.85,38.5,905,09.20.99,24.6,4.77,-0.23,5.00,4.54,4.5,4.7,4.7,5.2,,8.2,0.8,8.67,1.7,-2.1
UDFA,7,7th,TRUE,TRUE,FALSE,FALSE,TRUE,Frank Crum,WYOMING,,OT,OT29,LT,6SR,,6082,313,1048,33.875,8200,1.68,4.94,22,7.39,4.73,31.50,906,, ,4.62,-0.63,5.25,3.99,4.0,4.2,4.2,4.7,,2.8,4.7,9.86,2.9,0.0
UDFA,7,7th-PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Anim Dankwah,Howard,,OT,OT30,,5SR,,6076,349,968,35.125,8548,1.89,5.44,,,,,,,,4.55,NA,4.55,,,,,,,,,,,
179,7,7th-PFA,TRUE,TRUE,TRUE,FALSE,FALSE,Sataoa Laumea,UTAH,,OT,OT31,RT,5SR,78,6042,319,978,32.875,8068,DNP,DNP,26,DNP,DNP,26.00,808,01.13.01,23.0,4.52,-1.73,6.25,2.80,2.7,3.0,3.0,3.2,,1.5,2.5,5.27,-0.4,3.3
UDFA,7,7th-PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Mike Edwards,Campbell,,OT,OT32,,6SR,,6054,363,1058,35.000,8418,1.85,5.32,,,,,,,,4.50,NA,4.50,,,,,,,,,,,
UDFA,UDFA,7th-PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Julian Pearl,ILLINOIS,,OT,OT33,LT,6SR,,6060,312,1028,35.125,8558,DNP,DNP,DNP,DNP,DNP,DNP,DNP,10.06.99,24.6,4.48,-0.47,4.95,4.01,4.0,3.9,3.9,4.3,,3.5,5.4,5.27,7.1,-1.9
78,UDFA,7th-PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Matt Goncalves,PITTSBURGH,,OT,OT34,LT,5SR,,6062,317,900,33.250,8128,1.79,5.20,19,DNP,4.89,30.50,DNP,01.26.01,23.3,4.42,-1.38,5.80,3.03,3.0,3.2,3.2,3.3,,2.0,2.7,7.69,0.8,2.4
202,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,TRUE,Travis Glover,GA STATE,,OT,OT35,LT,6SR,,6060,317,968,34.750,8438,1.81,5.27,20,8.09,4.84,27.5,804,08.17.00,23.7,4.32,-0.78,5.10,3.54,3.5,3.5,4.1,4.6,,4.5,5.0,4.71,5.8,1.0
207,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Mike Jerrell,Findlay,,OT,OT36,,6SR,,6043,309,928,33.875,8078,1.69,4.94,,,,,,,,4.30,NA,4.30,,,,,,,,,,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,TRUE,FALSE,Donovan Jennings,USF,,OT,OT37,LT,6SR,,6041,323,928,33.000,8100,1.77,5.02,28,7.6,4.70,28,DNP,11.24.99,24.4,4.22,0.07,4.15,4.28,4.2,4.5,5.2,5.8,,6.1,5.6,8.93,0.0,-1.5
UDFA,UDFA,PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Andrew Coker,TCU,,OT,OT38,LT,5SR,74,6067,315,948,34.000,8100,1.84,5.36,24,7.95,4.93,25.5,710,03.23.01,23.1,4.20,-0.40,4.60,3.80,3.8,3.7,3.7,3.9,,5.1,2.0,4.85,3.3,2.9
249,UDFA,PFA,TRUE,TRUE,TRUE,FALSE,FALSE,LaDarius Henderson,MICHIGAN,,OT,OT39,LT,5SR,73,6041,309,1058,35.000,8468,DNP,DNP,22,8.15,4.72,,,12.11.01,22.4,4.13,-0.97,5.10,3.17,3.1,3.0,3.0,3.2,,0.2,4.9,5.27,6.7,5.4
UDFA,UDFA,PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Karsen Barnhart,MICHIGAN,,OT,OT40,RT,5SR,,6044,306,978,33.375,8128,1.75,5.21,22,7.83,4.70,29.50,903,03.02.01,23.2,4.11,-0.49,4.60,3.62,3.6,3.8,3.8,4.0,,2.3,4.5,7.47,1.3,2.8
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nolan Potter,N ILLINOIS,,OT,OT41,RT,6SR,,6054,310,1018,33.750,7918,1.71,5.20,25,8.28,4.96,27.00,807,08.29.00,23.7,4.11,NA,,4.11,4.1,4.3,5.1,5.7,,5.9,6.5,5.93,2.5,1.1
UDFA,UDFA,PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Trente Jones,MICHIGAN,,OT,OT42,RT,5SR,,6037,305,1018,33.000,8000,1.78,5.17,,7.78,4.87,27.00,901,01.15.01,23.3,4.11,-0.39,4.50,3.71,3.7,3.9,3.9,4.1,,4.1,3.8,5.80,0.0,2.3
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lorenzo Thompson,Rhode Island,,OT,OT43,,6SR,,6060,305,948,32.250,7858,1.77,5.02,,,,,,,,4.00,NA,4.00,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Bradley Ashmore,VANDERBILT,,OT,OT44,RT,4SR,,6057,304,928,33.375,,1.88,5.38,22,7.93,4.83,29.5,805,,22.0,3.99,NA,,3.99,4.0,4.2,4.9,4.9,,4.2,6.7,4.33,1.3,6.7
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,TRUE,Doug Nester,W VIRGINIA,,OT,OT45,RT,5SR,,6066,308,968,32.750,8118,1.89,5.31,,,,,,08.07.00,23.7,3.76,-0.64,4.40,3.13,3.1,3.4,4.0,4.3,,5.9,4.1,3.35,-0.8,0.9
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Darrell Simpson,TULSA,,OT,OT46,RT,6SR,,,,,,,,,,,,,,,24.0,3.50,NA,,3.50,3.5,3.9,4.6,5.1,,7.7,3.8,4.44,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Cameron Wire,TULANE,,OT,OT47,LT,6SR,,6053,294,928,34.875,8278,,,,,,,,,24.0,3.39,NA,,3.39,3.4,3.4,4.0,4.4,,5.8,2.3,5.27,6.3,0.0
UDFA,UDFA,UDFA,TRUE,TRUE,TRUE,FALSE,TRUE,Jeremy Flax,KENTUCKY,,OT,OT48,RT,6SR,77,6054,343,900,33.125,8178,1.95,5.64,,8.19,5.13,28,804,08.25.99,24.7,3.33,-0.87,4.20,2.46,2.4,2.5,2.5,2.8,,5.2,1.6,1.66,0.4,-2.3
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Connor Finucane,ARMY,,OT,OT49,RT,4SR,,,,,,,,,,,,,,, ,3.08,NA,,3.08,3.1,3.4,4.0,4.0,,2.7,6.3,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Spencer Rolland,N CAROLINA,,OT,OT50,RT,6SR,,,,,,,,,,,,,,,24.0,2.93,NA,,2.93,2.9,3.3,3.8,4.3,,6.5,2.0,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Eric Miller,LOUISVILLE,,OT,OT51,RT,6SR,,,,,,,,,,,,,,,24.0,2.84,NA,,2.84,2.8,3.2,3.7,4.1,,4.8,3.8,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Hyrin White,SMU,,OT,OT52,RT,7SR,,,,,,,,,,,,,,,25.0,2.83,NA,,2.83,2.8,3.1,3.7,4.4,,5.4,4.4,5.27,0.0,-3.3
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jake Hornibrook,DUKE,,OT,OT53,RT,5SR,,,,,,,,,,,,,,, ,2.83,NA,,2.83,2.8,3.1,3.7,3.9,,3.9,4.2,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brian Dooley,E MICHIGAN,,OT,OT54,RT,6SR,77,,,,,,,,,,,,,,24.0,2.77,NA,,2.77,2.8,3.1,3.6,4.0,,5.5,2.6,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tyler McLellan,CAMPBELL,,OT,OT55,RT,7SR,,,,,,,,,,,,,,,25.0,2.73,NA,,2.73,2.7,3.0,3.6,4.2,,6.6,2.3,5.27,0.0,-3.3
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Bless Harris,FLORIDA ST,,OT,OT56,LT,6SR,,,,,,,,,,,,,,, ,2.69,NA,,2.69,2.7,3.0,3.5,3.9,,3.8,4.4,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nick Kidwell,JAMES MAD,,OT,OT57,RT,6SR,,,,,,,,,,,,,,, ,2.59,NA,,2.59,2.6,2.9,3.4,3.8,,3.1,4.8,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Joey Ramos,ARIZONA ST,,OT,OT58,RT,6SR,,,,,,,,,,,,,,, ,2.51,NA,,2.51,2.5,2.8,3.3,3.6,,4.1,3.2,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kameron Jones,MISS STATE,,OT,OT59,RT,6SR,,,,,,,,,,,,,,, ,2.46,NA,,2.46,2.5,2.7,3.2,3.6,,4.4,2.6,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ryan Atkins-Frazier,ARKAPB,,OT,OT60,RT,6SR,,,,,,,,,,,,,,, ,2.43,NA,,2.43,2.4,2.7,3.2,3.5,,4.0,2.9,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Grant Betts,TROY,,OT,OT61,RT,6SR,,,,,,,,,,,,,,, ,2.40,NA,,2.40,2.4,2.7,3.1,3.5,,3.4,3.5,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tairiq Stewart,NC A&T,,OT,OT62,RT,6SR,,,,,,,,,,,,,,, ,2.33,NA,,2.33,2.3,2.6,3.0,3.4,,4.8,1.4,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lyndell Hudson Jr.,FLORIDA,,OT,OT63,RT,6SR,,,,,,,,,,,,,,, ,2.15,NA,,2.15,2.2,2.4,2.8,3.1,,2.4,3.7,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Daniel Johnson,PURDUE,,OT,OT64,LT,6SR,,,,,,,,,,,,,,, ,2.13,NA,,2.13,2.1,2.4,2.8,3.1,,1.8,4.4,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Victor Curne,OLE MISS,,OT,OT65,LT,6SR,,,,,,,,,,,,,,, ,2.13,NA,,2.13,2.1,2.4,2.8,3.1,,2.4,3.7,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Willie Tyler,LOUISVILLE,,OT,OT66,LT,6SR,,,,,,,,,,,,,,, ,2.12,NA,,2.12,2.1,2.4,2.8,3.1,,2.5,3.4,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Spencer Clapp,WAKE,,OT,OT67,LT,7SR,,,,,,,,,,,,,,, ,2.08,NA,,2.08,2.1,2.3,2.7,3.2,,1.9,4.6,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Christy Nkanu,WASH STATE,,OT,OT68,RT,6SR,,,,,,,,,,,,,,, ,2.04,NA,,2.04,2.0,2.3,2.7,3.0,,0.4,5.8,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kai-Leon Herbert,TULSA,,OT,OT69,LT,6SR,,,,,,,,,,,,,,, ,2.00,NA,,2.00,2.0,2.2,2.6,2.9,,3.4,1.6,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Clay Servin,RICE,,OT,OT70,LT,6SR,,,,,,,,,,,,,,, ,1.98,NA,,1.98,2.0,2.2,2.6,2.9,,1.8,3.6,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Shayne Buckingham,ARMY,,OT,OT71,LT,5SR,,,,,,,,,,,,,,, ,1.94,NA,,1.94,1.9,2.2,2.5,2.7,,0.0,5.4,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kwatrivous Johnson,MISS STATE,,OT,OT72,LT,6SR,,,,,,,,,,,,,,, ,1.91,NA,,1.91,1.9,2.1,2.5,2.8,,3.8,0.7,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chaz Neal,FAU,,OT,OT73,RT,6SR,,,,,,,,,,,,,,, ,1.84,NA,,1.84,1.8,2.0,2.4,2.7,,2.1,2.6,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Marquice Robinson,FAU,,OT,OT74,LT,6SR,,,,,,,,,,,,,,, ,1.83,NA,,1.83,1.8,2.0,2.4,2.7,,0.9,4.1,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Barrett Miller,CAL,,OT,OT75,LT,5SR,,,,,,,,,,,,,,, ,1.78,NA,,1.78,1.8,2.0,2.3,2.5,,0.4,4.1,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Reuben Unije,HOUSTON,,OT,OT76,RT,6SR,,,,,,,,,,,,,,, ,1.68,NA,,1.68,1.7,1.9,2.2,2.4,,0.5,4.0,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Emmit Bohle,ARIZONA ST,,OT,OT77,RT,6SR,,,,,,,,,,,,,,, ,1.61,NA,,1.61,1.6,1.8,2.1,2.3,,0.0,4.3,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Terrance McClain,MEMPHIS,,OT,OT78,RT,5SR,,,,,,,,,,,,,,, ,1.57,NA,,1.57,1.6,1.7,2.1,2.2,,-0.1,3.9,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brian Miller,GA SOUTHRN,,OT,OT79,LT,7SR,,,,,,,,,,,,,,, ,1.54,NA,,1.54,1.5,1.7,2.0,2.4,,1.4,2.5,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Briason Mays,SO MISS,,OT,OT80,RT,6SR,,,,,,,,,,,,,,, ,1.50,0.56,0.94,2.05,2.1,2.3,2.7,3.0,,2.3,3.4,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Christian Duffie,KANSAS ST,,OT,OT81,RT,6SR,,,,,,,,,,,,,,, ,1.44,NA,,1.44,1.4,1.6,1.9,2.1,,-1.8,5.8,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jonathan Williams,ALAB A&M,,OT,OT82,RT,5SR,,,,,,,,,,,,,,, ,1.30,NA,,1.30,1.3,1.4,1.7,1.8,,1.7,0.2,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Vincent Lumia,LOUISVILLE,,OT,OT83,RT,6SR,,,,,,,,,,,,,,, ,1.10,NA,,1.10,1.1,1.2,1.4,1.6,,0.7,0.9,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Emmanual Sowders,LOUISVILLE,,OT,OT84,LT,6SR,,,,,,,,,,,,,,, ,0.93,NA,,0.93,0.9,1.0,1.2,1.4,,0.9,-0.1,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Simi Moala,BYU,,OT,OT85,RT,6SR,,,,,,,,,,,,,,, ,0.89,NA,,0.89,0.9,1.0,1.2,1.3,,0.2,0.5,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Reggie Young,COLORADO,,OT,OT86,RT,6SR,,,,,,,,,,,,,,, ,0.83,NA,,0.83,0.8,0.9,1.1,1.2,,-0.2,0.8,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Matt Eylander,DUKE,,OT,OT87,LT,6SR,,,,,,,,,,,,,,, ,0.75,NA,,0.75,0.7,0.8,1.0,1.1,,0.7,-0.9,5.27,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lucas Gramlick,CHARLOTTE,,OT,OT88,LT,6SR,,,,,,,,,,,,,,, ,0.66,NA,,0.66,0.7,0.7,0.9,1.0,,-0.7,0.6,5.27,0.0,0.0
