ov,Grade,,IN,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos Played,Pos,Class,#,OCB%,Slot%,Box%,FS%,Press Snaps,HT,WT,Hand,Arm,Wing,10,40,BP,3C,SS,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Size Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Overall Coverage,Man,Zone,Tackling,Age,RAS,Length Scaled
180,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Marcellas Dial,South Carolina,SEC,CB,CB34,5SR,,92%,1%,5%,0%,,5116,190,878,32,7758,1.56,4.46,--,--,--,40.5,1009,12.06.00,23.4,4.82,0.22,4.60,5.04,5.0,5.0,5.3,,4.4,6.2,4.4,,2.0,7.18,6.7
227,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Myles Harden,South Dakota,FCS,CB,CB35,4JR,,81%,3%,7%,0%,,5107,195,0938,29.875,7400,1.52,4.50,13,6.88,3.98,35.5,910,12.13.01,22.4,4.79,-0.96,5.75,3.84,3.8,3.8,3.8,,5.6,0.0,1.8,,5.4,8.3,-2.8
UDFA,7,7th,TRUE,FALSE,FALSE,TRUE,TRUE,Ja'Quan Sheppard,Maryland,Big Ten,CB,CB36,5SR,,86%,5%,8%,1%,,6016,199,,30.625,,1.57,4.62,,,,,,04.12.01,23.1,4.74,0.42,4.31,5.16,5.2,5.7,6.0,,7.5,7.5,5.6,,3.1,4.92,0.6
219,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Daequan Hardy,Penn State,Big Ten,CB,CB37,5SR,25,30%,54%,7%,3%,30,5093,179,818,30,7078,1.53,4.38,--,--,--,42.5,1006,06.13.01,22.9,4.70,-0.10,4.80,4.61,4.9,4.9,5.1,,5.3,4.6,4.5,,3.7,8.15,-2.2
153,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Deantre Prince,Mississippi,SEC,CB,CB38,5SR,,90%,1%,8%,0%,,6000,183,0848,30.75,7368,1.55,4.38,--,--,--,34.5,1005,10.12.00,23.6,4.66,-0.04,4.70,4.62,4.6,4.6,4.9,,4.8,2.6,7.1,,1.5,6.63,1.1
UDFA,7,7th-PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Myles Sims,Georgia Tech,ACC,CB,CB39,6SR,,92%,3%,5%,0%,,6025,188,,34,,1.46,4.48,,,,,,07.14.00,23.8,4.59,0.59,4.00,5.19,5.2,5.8,6.4,,7.3,3.7,5.2,,0.6,8.16,15.6
UDFA,7,7th-PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Isaiah Johnson,Syracuse,ACC,CB,CB40,6SR,,89%,1%,6%,0%,,6030,206,878,32.875,8048,1.61,4.62,--,--,--,38.5,1009,03.29.00,24.1,4.58,0.29,4.29,4.87,4.9,4.9,5.4,,3.9,2.4,8.4,,-0.3,7.91,10.6
UDFA,7,7th-PFA,TRUE,FALSE,FALSE,TRUE,FALSE,Jarius Monroe,Tulane,AAC,CB,CB41,5SR,2,88%,1%,6%,2%,106,6006,201,0878,32,7718,1.62,4.64,,,,,,10.06.00,23.6,4.56,0.39,4.17,4.96,5.0,5.5,5.8,,8.0,4.0,8.0,,1.4,2.94,6.7
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,TRUE,TRUE,Chigozie Anusiem,Colorado State,Mountain West,CB,CB42,6SR,,90%,3%,4%,1%,,6011,200,0848,32.25,7900,1.57,4.39,,,,,,11.05.00,23.5,4.36,-0.39,4.75,3.96,4.0,4.4,4.9,,2.4,4.9,4.7,,1.7,8.88,7.8
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Miles Battle,Utah,Pac-12,CB,CB43,6SR,,88%,9%,3%,0%,,6032,196,,32.125,,1.60,4.37,,,,,,01.04.00,24.3,4.27,0.15,4.11,4.42,4.4,4.9,5.5,,4.6,4.7,4.6,,-1.1,9.5,7.2
201,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Micah Abraham,Marshall,,CB,CB44,5SR,,,,,,,5096,185,,30.75,,1.55,4.43,,,,,,,,4.20,NA,4.20,,,,,,,,,,,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,TRUE,TRUE,A.J. Woods,Pittsburgh,ACC,CB,CB45,5SR,9,69%,12%,16%,0%,56,5101,187,0848,30.5,7158,1.48,4.39,,,,,,03.28.01,23.1,4.08,0.00,4.09,4.08,4.1,4.5,4.8,,4.8,2.4,4.0,,3.0,9.47,0.0
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,TRUE,Storm Duck,Louisville,ACC,CB,CB46,5SR,29,90%,4%,5%,0%,64,6002,195,,32.125,,1.55,4.42,,,,,,12.15.00,23.4,4.07,0.04,4.03,4.11,4.1,4.6,4.8,,3.9,3.8,2.4,,2.1,9.55,7.2
UDFA,UDFA,PFA,TRUE,TRUE,TRUE,FALSE,FALSE,Johnny Dixon,Penn State,Big Ten,CB,CB47,5SR,3,69%,8%,12%,3%,60,5106,188,0858,29.5,7200,DNP,DNP,--,--,--,--,--,01.03.01,23.3,4.01,-1.09,5.10,2.92,2.9,2.9,3.1,,3.5,0.0,2.7,,2.2,8,-4.4
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,FALSE,Beanie Bishop Jr.,West Virginia,Big 12,CB,CB48,6SR,,90%,0%,8%,0%,,5091,180,0928,30.75,7200,1.50,4.39,,,,,,12.17.99,24.4,4.00,-0.50,4.50,3.49,3.5,3.9,4.3,,4.2,4.2,4.7,,-1.3,6.3,1.1
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,FALSE,TRUE,Ryan Cooper,Oregon State,Pac-12,CB,CB49,4SR,1,36%,49%,12%,3%,54,5112,186,868,30.5,7158,1.64,4.65,--,--,--,--,--,,23.0,3.99,-0.15,4.14,3.84,3.8,3.8,3.8,,5.8,2.4,5.9,,3.3,1.35,0.0
UDFA,UDFA,UDFA,TRUE,TRUE,TRUE,FALSE,TRUE,Carlton Johnson,Fresno State,Mountain West,CB,CB50,6SR,2,92%,1%,6%,0%,36,5105,175,0800,30.375,7318,1.57,4.28,--,--,--,--,--,,24.0,3.96,-0.59,4.55,3.37,3.5,3.5,3.9,,3.8,4.4,6.7,,0.0,3.06,-0.6
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,FALSE,Ro Torrence,Arizona State,Pac-12,CB,CB51,5SR,9,88%,1%,7%,0%,110,6027,206,848,34.125,8028,1.66,4.69,--,--,--,--,--,04.01.01,23.1,3.96,-0.39,4.34,3.57,3.6,3.6,3.8,,2.8,3.5,4.1,,3.0,2.19,16.1
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Keni-H Lovely,Western Michigan,#N/A,CB,CB52,6SR,,79%,4%,9%,5%,,5100,182,,30.5,,1.58,4.37,,,,,,05.12.00,24.0,3.89,-0.37,4.26,3.52,3.5,3.9,4.3,,4.7,1.3,5.7,,0.1,7.68,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tyrek Funderburk,Appalachian St.,Sun Belt,CB,CB53,6SR,,94%,1%,3%,1%,,5110,186,,30.625,,1.53,4.39,,,,,,11.28.00,23.4,3.84,-0.21,4.06,3.63,3.6,4.0,4.5,,3.9,1.3,6.8,,1.9,7.83,0.6
195,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,FALSE,Ryan Watts,Texas,Big 12,CB,CB54,4SR,,84%,2%,13%,1%,,6026,208,938,34.5,8168,1.55,4.53,--,6.82,4.13,40.5,1005,,,3.50,-1.50,5.00,2.01,2.0,2.0,2.0,,1.5,2.0,1.3,,0.0,,17.8
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Willie Roberts,Louisiana Tech,C-USA,CB,CB55,5SR,,79%,4%,7%,2%,,,,,,,,,,,,,,,,3.44,NA,,3.44,4.0,4.5,4.7,,7.7,4.4,7.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Alex Johnson,UCLA,Pac-12,CB,CB56,6SR,,1%,71%,18%,7%,,,,,,,,,,,,,,,,3.27,NA,,3.27,3.8,4.3,4.7,,7.1,5.3,7.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jai Roe,Long Island,#N/A,CB,CB57,5SR,,26%,50%,20%,0%,,,,,,,,,,,,,,07.02.01,22.8,3.12,NA,,3.12,3.7,4.1,4.3,,9.0,0.0,6.9,,3.9,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Morice Norris Jr.,Fresno State,Mountain West,CB,CB58,6SR,,5%,69%,12%,0%,,,,,,,,,,,,,,,,3.11,NA,,3.11,3.7,4.1,4.5,,6.7,8.8,3.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Thomas Harper,Notre Dame,Ind.,CB,CB59,5SR,,5%,81%,5%,7%,,,,,,,,,,,,,,,,3.08,-1.12,4.20,1.97,2.3,2.6,2.7,,3.2,3.1,5.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Myles Jones,Duke,ACC,CB,CB60,7SR,,92%,1%,5%,2%,,,,,,,,,,,,,,,,3.05,NA,,3.05,3.6,4.0,4.7,,7.8,2.6,9.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Davon Ferguson,Bowling Green,MAC,CB,CB61,6SR,,5%,57%,26%,1%,,,,,,,,,,,,,,,,3.03,NA,,3.03,3.6,4.0,4.4,,8.1,2.7,7.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Yahsyn McKee,Miami (OH),MAC,CB,CB62,5SR,,93%,1%,3%,0%,,,,,,,,,,,,,,,,3.00,NA,,3.00,3.5,3.9,4.1,,6.4,4.0,7.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Zamari Walton,Mississippi,SEC,CB,CB63,6SR,,93%,0%,7%,0%,,,,,,,,,,,,,,,,2.91,NA,,2.91,3.4,3.8,4.2,,6.7,6.0,5.0,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Shemar Bartholomew,Georgia Southern,Sun Belt,CB,CB64,6SR,,91%,6%,4%,0%,,,,,,,,,,,,,,,,2.88,NA,,2.88,3.4,3.8,4.2,,6.8,5.6,5.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Malik Dunlap,Texas Tech,Big 12,CB,CB65,6SR,,87%,3%,9%,0%,,,,,,,,,,,,,,,,2.83,NA,,2.83,3.3,3.7,4.1,,5.9,4.7,7.0,,0.0,,0.0
226,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Jaden Davis,Miami,ACC,CB,CB66,5SR,,75%,15%,6%,2%,,,,,,,,,,,,,,,,2.76,NA,,2.76,3.2,3.6,3.8,,3.1,5.2,3.6,,0.0,5.49,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jae'Veyon Morton,Morgan State,#N/A,CB,CB67,6SR,,7%,77%,11%,2%,,,,,,,,,,,,,,,,2.75,NA,,2.75,3.2,3.6,4.0,,6.9,0.0,9.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Charles Woods,SMU,AAC,CB,CB68,6SR,,88%,2%,8%,1%,,,,,,,,,,,,,,,,2.73,NA,,2.73,3.2,3.6,4.0,,5.3,5.3,6.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Sam Westfall,Virginia,ACC,CB,CB69,6SR,,94%,1%,5%,0%,,,,,,,,,,,,,,,,2.65,NA,,2.65,3.1,3.5,3.9,,7.2,2.9,5.5,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lance Robinson,Tulane,AAC,CB,CB70,6SR,,94%,2%,3%,1%,,,,,,,,,,,,,,,,2.57,NA,,2.57,3.0,3.4,3.7,,5.6,4.5,5.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kaleb Ford-Dement,Texas State,Sun Belt,CB,CB71,6SR,,84%,4%,8%,2%,,,,,,,,,,,,,,,,2.57,NA,,2.57,3.0,3.4,3.7,,4.9,4.0,7.3,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Malik Feaster,Memphis,AAC,CB,CB72,6SR,,91%,4%,4%,0%,,,,,,,,,,,,,,,,2.53,NA,,2.53,3.0,3.3,3.7,,5.7,5.5,4.2,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Marquis Wilson,Purdue,Big Ten,CB,CB73,5SR,,91%,7%,1%,0%,,,,,,,,,,,,,,,,2.51,NA,,2.51,3.0,3.3,3.5,,4.4,5.9,4.7,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,FALSE,Mikey Victor,Alabama State,#N/A,CB,CB74,6SR,,94%,0%,5%,0%,,6024,212,938,33.5,8058,,,,,,,,,,2.50,NA,,2.50,2.5,2.8,3.1,,8.1,0.0,0.0,,0.0,,13.3
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Sheridan Jones,Clemson,ACC,CB,CB75,5SR,,84%,1%,12%,0%,,,,,,,,,,,,,,,,2.50,NA,,2.50,2.9,3.3,3.4,,5.3,3.4,5.8,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,DeJordan Mask,UCF,AAC,CB,CB76,5SR,,1%,67%,24%,0%,,,,,,,,,,,,,,,,2.50,NA,,2.50,2.9,3.3,3.4,,7.1,3.0,3.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Te'Cory Couch,Miami,ACC,CB,CB77,5SR,,3%,76%,11%,2%,,,,,,,,,,,,,,,,2.35,NA,,2.35,2.8,3.1,3.2,,3.9,5.3,4.9,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kalon Gervin,Kansas,Big 12,CB,CB78,6SR,,10%,74%,14%,1%,,,,,,,,,,,,,,,,2.29,NA,,2.29,2.7,3.0,3.3,,6.5,2.2,4.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Reddy Steward,Troy,Sun Belt,CB,CB79,5SR,2,90%,3%,7%,0%,46,,,,,,,,,,,,,,,2.28,NA,,2.28,2.7,3.0,3.1,,4.4,1.4,7.6,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nicktroy Fortune,UTSA,C-USA,CB,CB80,5SR,,91%,0%,8%,1%,,,,,,,,,,,,,,,,2.22,NA,,2.22,2.6,2.9,3.0,,4.1,2.8,6.3,,0.0,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Malachi Ruffin,West Virginia,Big 12,CB,CB81,6SR,,93%,2%,4%,1%,,,,,,,,,,,,,,,,2.21,NA,,2.21,2.6,2.9,3.2,,6.5,3.2,3.1,,0.0,,0.0
