Pick Taken,Grade,,In,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,Bench,3-Cone,Shuttle,Vertical,Broad,DOB,Age,Final Grade,Difference,DB GRADE,Data Grade,Senior/Shrine ,Combine Invite Adjust,Year Adjust,Raw Grade,Posistional Value ,Pass Pro,Run,RAS,Arm Length,Age
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Avery Jones,Auburn,,C,C44,6SR,,,,,0,,,,,,,,,, ,0.75,-1.02,1.77,-0.3,-0.3,-0.3,-0.4,-0.4,,1.7,-1.9,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Rusty Feth,Iowa,,C,C45,,,6027,306,,0,32.25,1.78,5.31,20,7.75,4.8,29.5,,,,0.73,NA,0.73,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Isaiah Helms,Appalachian State,,C,C46,5SR,,,,,0,,,,,,,,,, ,0.63,NA,,0.6,0.8,0.8,0.9,1.0,,5.8,-1.6,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Andrew Carter,Weber State,,C,C47,6SR,,,,,0,,,,,,,,,, ,0.51,0.41,0.10,0.9,1.2,1.2,1.4,1.5,,6.5,-1.0,,0.0,0.0
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Nathan Boe,Minnesota,,C,C48,6SR,,,,,0,,,,,,,,,, ,0.42,NA,,0.4,0.5,0.5,0.6,0.7,,6.2,-2.4,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Dexter Carr,Morgan State,,C,C49,,,6012,303,,0,32,DNP,DNP,27,8.21,5.02,29.5,,,,0.42,NA,0.42,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Noah Buttiglieri,Delaware,,C,C50,,,6015,305,,0,31.375,1.93,5.31,20,7.88,4.88,26.5,,,,0.31,NA,0.31,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Barclay Briggs,Davidson,,C,C51,4JR,,,,,0,,,,,,,,,, ,0.29,NA,,0.3,0.4,0.4,0.4,0.4,,1.4,0.0,,0.0,0.0
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Matteo Mele,Washington,,C,C52,6SR,,,,,0,,,,,,,,,, ,0.24,NA,,0.2,0.3,0.3,0.3,0.4,,3.0,-1.0,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,AJ Forbes,Montana,,C,C53,,,6014,298,,0,32,1.95,5.68,22,8.14,4.87,25,,,,0.21,NA,0.21,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Michael Bertoia,Wisc.-La Crosse,,C,C54,,,6014,315,,0,30.5,1.87,5.43,DNP,DNP,DNP,DNP,,,,0,NA,0,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Mike Purcell,Maryland,,C,C55,6SR,,,,,0,,,,,,,,,, ,-0.06,NA,,-0.1,-0.1,-0.1,-0.1,-0.1,,-1.9,0.9,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Bula Schmidt,UCF,,C,C56,5SR,,,,,0,,,,,,,,,, ,-0.17,-0.80,0.63,-1.0,-1.2,-1.2,-1.4,-1.5,,0.7,-3.5,,0.0,0.0
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Derek Ferraro,Texas A&M,,C,C57,6SR,,,,,0,,,,,,,,,, ,-0.45,NA,,-0.4,-0.6,-0.6,-0.7,-0.7,,0.2,-1.6,,0.0,0.0
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Caleb Johnson,Texas State,,C,C58,6SR,,,,,0,,,,,,,,,, ,-0.64,NA,,-0.6,-0.8,-0.8,-0.9,-1.0,,2.0,-3.2,,0.0,0.0
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Richard Rodriguez,Temple,,C,C59,6SR,,,,,0,,,,,,,,,, ,-0.65,NA,,-0.6,-0.8,-0.8,-1.0,-1.0,,2.8,-3.8,,0.0,0.0
